SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6118.1,6179.2,6009.75,6085.2,6067.15,6169,875,3683,22453577,
500003,"AEGIS LOGISTICS LTD.",A,STK,674.4,682.25,617.5,649.35,649.35,675.6,5739,181437,116394511,
500008,"Amara Raja Energy & Mobility L",A,STK,1049.4,1049.4,1005.25,1013.95,1013.95,1058.8,11538,135426,138100515,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,48.45,48.45,45,45.88,45.88,49.26,707,108888,5073763,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,69,69,65,66.25,66.34,68.55,794,60492,4037539,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,9.48,9.48,8.64,8.64,8.64,9.09,22,36515,315492,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,6.8,6.88,6.56,6.63,6.6,6.78,146,18765,126511,
500016,"ARUNA HOTELS LTD.",X,STK,11.45,11.45,10.65,11,11,11.59,28,11663,127978,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,159,159,149.3,151.2,151.2,159.05,2380,149004,22665148,
500023,"ASIAN HOTELS (NORTH) LIMITED",T,STK,305,307,297.75,307,307,300,13,615,184924,
500027,"ATUL LTD.",A,STK,6475,6532.75,6239.9,6330.35,6264,6545.65,630,2084,13234337,
500028,"ATV PROJECTS INDIA LTD.",X,STK,39.59,39.59,36.99,36.99,36.99,38.93,327,32622,1221910,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,673.8,679.8,650,672.9,678.35,667,626,5764,3818726,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,27.95,28,26.44,26.58,26.58,28.18,2318,424299,11434940,
500033,"FORCE MOTORS LTD.",A,STK,6500,6600,6285.1,6406.5,6405.1,6535.9,903,2706,17252605,
500034,"BAJAJ FINANCE LIMITED",A,STK,7360.3,7470.3,7256.05,7293.3,7272.3,7439.25,7698,40009,294373181,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,476.6,482,464.15,475.9,477.45,477.2,1630,35362,16670905,
500039,"BANCO PRODUCTS (INDIA) LTD.",B,STK,418.5,425.55,400.3,409.85,409.85,432.75,3751,88929,36449393,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1914,1930,1810.55,1863.05,1870,1880.1,1412,12256,22749486,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3678,3818,3678,3818,3818,3753.05,8,20,76112,
500042,"BASF INDIA LTD.",A,STK,4658.4,4702.15,4470.05,4674.2,4674.2,4635.85,493,1793,8194849,
500043,"BATA INDIA LTD.",A,STK,1282.4,1282.4,1232,1238.4,1242,1281.3,1066,6943,8674092,
500048,"BEML LTD.",A,STK,3598.8,3598.8,3428.55,3442.8,3442.8,3634.75,1114,7082,24613988,
500049,"BHARAT ELECTRONICS LTD.",A,STK,267.7,267.7,261.9,262.9,262.9,270.1,8726,932642,246363617,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,118.65,118.65,109.8,110.2,110.2,118.6,1439,43625,4874238,
500058,"BIHAR SPONGE IRON LTD.",X,STK,15.79,16.05,14.69,14.69,14.69,15.46,182,29536,438511,
500059,"BINANI INDUSTRIES LTD.",B,STK,13.11,13.6,13.07,13.07,13.07,13.75,32,2391,31869,
500060,"Birla Cable Limited",B,STK,190.55,190.55,178,179.95,180,191.3,258,5844,1078222,
500067,"BLUE STAR LTD.",A,STK,1805.95,1812.7,1711.5,1794.9,1797.4,1842.05,2961,20154,35421428,
500068,"DISA INDIA LTD.",B,STK,16175,16175,14700,15087.95,15087.95,15630,84,397,6013191,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,359.55,365,354.3,365,365,354.3,54,953,342908,
500074,"BPL LTD.",B,STK,95.85,100,90,90.5,90.5,96.45,658,15927,1467237,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,340.05,351,335.25,339.2,337.2,359.75,353,6717,2299954,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,21.02,21.38,19.71,20.25,20.4,21.74,308,15274,308140,
500084,"CESC LTD.",A,STK,137.8,137.8,133.1,136.05,136.25,139.05,4253,176933,23991508,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,495,495,476,478.7,478.7,496.1,2160,42316,20417576,
500086,"EXIDE INDUSTRIES LTD.",A,STK,368.3,368.3,346.35,347.85,347.85,369.15,15196,346565,122736972,
500087,"CIPLA LTD.",A,STK,1403.05,1414.3,1384.85,1395.9,1395.9,1411.8,8791,35410,49514761,
500092,"CRISIL LTD.",A,STK,5398.4,5398.4,5005.05,5130.3,5098.55,5290.9,838,4709,23867036,
500093,"CG Power and Industrial Soluti",A,STK,619.8,619.8,588,595.8,595.8,621.1,9832,264536,157552058,
500096,"DABUR INDIA LTD.",A,STK,518.45,532.55,518,523.3,523.3,521.9,5123,112368,59181214,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,353,353.55,337.3,345.15,351.45,356.6,246,4675,1610626,
500101,"ARVIND LTD.",A,STK,369.45,369.45,355.7,357.55,357.55,373.5,1907,36987,13305633,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,198.75,200,193,194.35,194.35,200.2,11978,664550,129810446,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,351.35,351.35,343.4,345.75,345.1,352.7,4029,174603,60708353,
500106,"IFCI LTD.",A,STK,53.76,53.76,51.53,51.85,51.85,53.92,1815,279667,14568276,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",A,STK,45.66,45.66,43.57,43.94,43.8,45.84,1585,204997,9041901,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,131.4,131.85,126.1,127.15,127.15,133.65,3176,188097,24024615,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,554.8,554.8,528,530.15,530,556,1522,37152,19831293,
500112,"STATE BANK OF INDIA",A,STK,740,755.3,736,749.2,749.2,744.35,16726,775011,579982708,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,106.9,106.9,102.85,103.4,103.4,108.2,10525,815331,85219759,
500114,"TITAN COMPANY LIMITED",A,STK,3398.3,3400.45,3308.7,3318.2,3318.2,3398.5,1804,13186,44233729,
500116,"IDBI BANK LTD.",A,STK,76.85,81.2,73.67,80.26,80.26,76.85,7080,1270029,99064449,
500117,"DCW LTD.",B,STK,78,78.29,74.69,77.66,77.47,79.45,1296,96284,7393176,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,152,152,145.5,145.9,146.25,151.5,266,7049,1038165,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,489.2,489.2,460,462.4,461,489.2,113,1041,484116,
500123,"ELANTAS BECK INDIA LTD.",B,STK,10451,10522.95,9710,9816.25,9889.95,10634.95,356,1750,17410065,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1224.7,1234.65,1192,1197.4,1197.4,1224.7,9963,61640,74597105,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,812.5,818,777.1,781.1,784.15,819.6,945,9676,7652564,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5310.05,5335.35,5173.1,5268.45,5261.05,5410.75,228,481,2527708,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,117.3,118.35,113,115.95,115.95,119.1,2855,167008,19176883,
500133,"ESAB INDIA LTD.",A,STK,4944.95,5049.9,4766,4868.95,4766,4992.95,232,643,3152693,
500135,"EPL LIMITED",A,STK,214.05,216.6,208.9,209.8,209.8,215.35,1642,73616,15497412,
500136,"ESTER INDUSTRIES LTD.",B,STK,147.45,147.45,136.55,137.35,140.65,149,629,21333,2996304,
500142,"FGP LTD.",XT,STK,8.74,8.74,8.1,8.11,8.11,8.46,39,4221,34714,
500143,"PH CAPITAL LTD.",XT,STK,280.05,296,279.15,279.15,279.15,293.8,127,3366,952031,
500144,"FINOLEX CABLES LTD.",A,STK,995,1023.9,962,1014.4,1013.35,995.3,941,11309,11282313,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,3745,3857.4,3640,3676.3,3651.05,3752.5,323,2033,7564671,
500148,"UFLEX LTD.",B,STK,498.35,498.35,458,459.7,462.5,476.9,121,1820,844673,
500151,"GOLDEN TOBACCO LTD.",Z,STK,38,39,37.5,37.54,37.54,39.06,12,1728,65161,
500153,"GANESH BENZOPLAST LTD.",B,STK,124.8,125.7,120.4,123.45,123.45,128.25,945,32404,3969442,
500159,"METROGLOBAL LIMITED",X,STK,145,145,133,136.4,138,142.15,67,3004,407397,
500160,"GTL LTD.",B,STK,11.17,11.21,10.7,10.81,10.76,11.15,298,42710,463864,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,4360.4,4384,4232.25,4333.65,4333.65,4351.75,1324,4758,20454251,
500164,"GODREJ INDUSTRIES LTD.",A,STK,829.6,848.85,815.05,838.75,831.75,856.15,759,9546,7905344,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,239.3,241.2,235,237.6,237.35,242.15,1372,48484,11465999,
500166,"GOODRICKE GROUP LTD.",X,STK,253,253,237.1,240.3,240.3,253.3,185,8162,1968800,
500168,"GOODYEAR INDIA LTD.",B,STK,947.3,947.3,916,929.25,928.85,951.05,900,8135,7548146,
500170,"GTN INDUSTRIES LTD.",X,STK,34,34.8,32.4,33.15,33.17,35.98,61,6167,206032,
