SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1075SCFL34,Z6,1000,1000,1000,1000,1000,960,23,23000.00,09-Jan-2025,3,INE148I07SR5
AAVAS,EQ,1680.75,1694,1674,1679.75,1678.55,1680.75,130454,219071189.05,09-Jan-2025,10483,INE216P01012
AWHCL,EQ,616.8,616.8,594,595.6,596,611.4,73291,44143093.40,09-Jan-2025,4636,INE01BK01022
BRACEPORT,ST,100.1,100.1,98,98,98,99,14400,1429520.00,09-Jan-2025,9,INE0R4Z01018
CONSOFINVT,EQ,203.15,212.44,203,203.19,203,205.25,8767,1805641.05,09-Jan-2025,406,INE025A01027
ONDOOR,ST,319.75,321.1,303.8,310,310,319.75,20700,6432120.00,09-Jan-2025,24,INE00ER01015
SJLOGISTIC,ST,608,627.65,600,618.65,619.95,608.55,30000,18518025.00,09-Jan-2025,110,INE0F3301020
IEML,SM,224,235,224,233.25,235,229,13000,2999425.00,09-Jan-2025,24,INE0RRU01016
JYOTISTRUC,EQ,24.82,27.44,24.82,25.5,25.65,25.15,33427722,885062968.33,09-Jan-2025,30939,INE197A01024
BSLGOLDETF,EQ,70.39,70.39,68.83,69.34,69.34,69.01,38755,2684193.13,09-Jan-2025,561,INF209KB18D3
APCL,EQ,160.35,160.39,157.36,157.95,157.7,157.98,5681,900549.17,09-Jan-2025,250,INE071F01012
ASHAPURMIN,EQ,485.1,497.95,467,473.95,474.45,484.65,634789,304377403.45,09-Jan-2025,11603,INE348A01023
BASML,EQ,54.55,54.6,51.4,51.9,51.53,53.75,55842,2949065.96,09-Jan-2025,549,INE186H01022
753IRFC30,NJ,1109,1109,1098.3,1100.14,1103.99,1096,649,713991.71,09-Jan-2025,11,INE053F07835
TIIL,EQ,2864.8,2878.2,2756.15,2783.3,2778.5,2864.8,7119,19979227.80,09-Jan-2025,2197,INE545H01011
VINYAS,ST,901.1,901.1,898.5,900,900,901.1,14400,12951880.00,09-Jan-2025,19,INE0OLS01010
LALPATHLAB,EQ,3009.5,3012.5,2964.8,3004.25,3003.6,2994.55,96472,288974168.25,09-Jan-2025,14670,INE600L01024
MCL,BE,51.66,51.85,49.5,50.48,51.6,51.85,50333,2528189.17,09-Jan-2025,308,INE813V01022
NAVNETEDUL,EQ,138.2,142,138.2,140.86,140.44,139.54,59110,8288005.17,09-Jan-2025,1767,INE060A01024
VIMTALABS,EQ,1006,1013.9,975.05,980.65,979,1002.35,36891,36576685.90,09-Jan-2025,3754,INE579C01029
ZENTEC,EQ,2477.5,2585,2458.55,2539.05,2522,2468.85,464707,1180335637.90,09-Jan-2025,31978,INE251B01027
PPLPHARMA,EQ,245.55,251.15,233.3,237.15,237.8,245.7,4058189,981017939.60,09-Jan-2025,64306,INE0DK501011
REFRACTORY,ST,80.45,84.95,78.85,80,80,83,47000,3789400.00,09-Jan-2025,25,INE0TNX01015
KREBSBIO,BE,95.95,96,92,95.25,95,94.2,2668,253360.27,09-Jan-2025,34,INE268B01013
SGBSEP31II,GB,8320,8399,8320,8366.93,8369.99,8320,590,4938604.31,09-Jan-2025,114,IN0020230093
BASF,EQ,5199.5,5590.4,5199.5,5277.5,5270,5193.55,107880,585752208.35,09-Jan-2025,25012,INE373A01013
EXICOM,EQ,262.59,262.59,262.59,262.59,262.59,250.09,52292,13731356.28,09-Jan-2025,506,INE777F01014
GEOJITFSL,EQ,106.5,108.68,105.25,105.68,105.5,106.79,210836,22528240.61,09-Jan-2025,3882,INE007B01023
HINDCOMPOS,EQ,518.9,539.3,507,510.45,507,516.2,6335,3275377.75,09-Jan-2025,881,INE310C01029
HYUNDAI,EQ,1802,1807.15,1766,1785.55,1788.4,1811.4,445286,792742592.95,09-Jan-2025,36764,INE0V6F01027
VPRPL,EQ,279.25,279.25,270.25,271.45,270.65,279.35,539477,148010141.10,09-Jan-2025,15795,INE0AE001013
PRECISION,ST,40.95,41.95,40.75,41.95,41.95,41.95,8000,329200.00,09-Jan-2025,4,INE0HKW01018
PRINCEPIPE,EQ,405.05,407.95,402.05,402.8,403,405.6,88653,35771497.60,09-Jan-2025,8306,INE689W01016
JSFB,EQ,410.7,415,400.6,402.7,403.5,406.65,56138,22867090.60,09-Jan-2025,1816,INE953L01027
JMFINANCIL,EQ,121.88,123.98,121.23,123.16,123.17,121.89,2074390,254628352.34,09-Jan-2025,21076,INE780C01023
KABRAEXTRU,EQ,534.5,539.8,520.85,525.2,524,535.2,60954,32309224.15,09-Jan-2025,2084,INE900B01029
KOKUYOCMLN,EQ,127.6,128.41,123.5,126.04,126,127.71,71056,8921834.50,09-Jan-2025,1358,INE760A01029
GAIL,EQ,190.4,190.87,182.33,183.02,183.3,190.58,14447702,2682723441.73,09-Jan-2025,116147,INE129A01019
GSEC5IETF,EQ,59.08,59.38,58.6,59.26,59.26,59.07,746,44101.97,09-Jan-2025,21,INF109KC14A8
SDBL,EQ,114.1,116.77,112,112.36,112.8,115.27,552790,63055350.65,09-Jan-2025,10682,INE480C01038
TIPSMUSIC,EQ,701,708.5,685,689.35,686.1,695.8,276984,193104171.45,09-Jan-2025,18572,INE716B01029
NETWORK18,EQ,68.5,69.22,66,66.61,66.25,68.48,3558828,240996519.97,09-Jan-2025,21935,INE870H01013
PPSL,SM,43.45,45.6,40.05,41.45,40.8,41.3,930000,39861150.00,09-Jan-2025,264,INE0YAL01017
SAHAJSOLAR,ST,539.5,548,521.3,523.2,522,533.65,16600,8798040.00,09-Jan-2025,72,INE0P4701011
IKS,EQ,1947,1970,1924.9,1954.05,1966,1946.95,200486,390367670.15,09-Jan-2025,13751,INE115Q01022
RUSTOMJEE,EQ,665.15,689.95,661.95,667.95,665.1,670.65,37931,25516254.30,09-Jan-2025,2682,INE263M01029
MON100,EQ,207.95,207.95,200.5,201.18,201,202.41,572275,116341749.30,09-Jan-2025,12643,INF247L01AP3
NAHARPOLY,EQ,258,261.45,244,245.45,244.05,255.8,18903,4753602.95,09-Jan-2025,1335,INE308A01027
AKUMS,EQ,627.95,631.35,601.55,617.4,620.2,624.35,235946,146440474.00,09-Jan-2025,7780,INE09XN01023
DRONE,ST,195,195,194.7,194.7,194.7,198.65,13500,2629350.00,09-Jan-2025,20,INE0P7201019
SUBEXLTD,EQ,21.89,22.1,21.62,21.7,21.8,21.98,1751567,38192110.88,09-Jan-2025,5695,INE754A01055
SUNDRMFAST,EQ,1048.65,1078.45,1042.55,1071.6,1069.95,1048.65,59843,63720489.30,09-Jan-2025,9048,INE387A01021
VISHNUINFR,ST,270.05,275.5,263,271,271,275.5,10000,2696900.00,09-Jan-2025,19,INE0PQ001012
SHANKARA,EQ,667,669.4,635,642.8,642.8,664.1,34330,22295581.35,09-Jan-2025,1576,INE274V01019
INDIASHLTR,EQ,696.55,697.5,682,686.05,687,689.65,52056,35866689.70,09-Jan-2025,7491,INE922K01024
ALMONDZ,BE,33.76,33.76,32.43,32.43,32.43,33.1,208468,6934008.01,09-Jan-2025,192,INE326B01035
CHOLAFIN,EQ,1280,1292.3,1266.65,1288.2,1286,1275.25,1603366,2049866327.55,09-Jan-2025,44525,INE121A01024
CMRSL,SM,99,101,97.5,99.8,97.5,100,3200,318760.00,09-Jan-2025,4,INE075Z01011
DEEPAKNTR,EQ,2453.8,2509.2,2438.05,2458.5,2459.9,2436.65,536319,1328667019.20,09-Jan-2025,40795,INE288B01029
LIQUIDADD,EQ,1050.88,1050.9,1050.88,1050.89,1050.9,1050.71,323455,339914661.87,09-Jan-2025,184,INF740KA1UM0
SENSEXIETF,EQ,884.23,884.23,875.43,876.69,881,883.3,13709,12025875.15,09-Jan-2025,399,INF346A01034
TEMBO,BE,793.95,800,755.95,764.35,765,795.7,51335,39591065.05,09-Jan-2025,1643,INE869Y01010
NTPCGREEN,EQ,125.77,125.9,120.21,120.92,120.94,125.45,12536030,1527164332.96,09-Jan-2025,98128,INE0ONG01011
OMAXAUTO,EQ,113.57,115.42,110.15,110.86,112,114.23,11441,1286084.68,09-Jan-2025,532,INE090B01011
RELIGARE,EQ,281.85,299.5,278,295.15,294,281.85,5107874,1489988739.45,09-Jan-2025,58461,INE621H01010
SAMHI,EQ,193.96,206.34,193.65,200.99,200.94,192.6,3497719,704388728.93,09-Jan-2025,79917,INE08U801020
ALPHAGEO,EQ,459,479,451.55,461.15,461.5,457,48008,22334058.85,09-Jan-2025,3162,INE137C01018
CROMPTON,EQ,369.5,371.1,366.3,370.2,370.45,369.5,1415293,522905105.40,09-Jan-2025,23659,INE299U01018
BALAJEE,EQ,68,69,67.56,68.13,68.34,68.66,54019,3697392.22,09-Jan-2025,1099,INE0S2G01011
SATIN,EQ,155.5,161.51,152.01,152.74,152.75,154.96,348623,54666278.38,09-Jan-2025,14374,INE836B01017
IDENTICAL,SM,75,76.95,70,72.25,73.35,77.05,430000,30960000.00,09-Jan-2025,206,INE0TD101011
ABINFRA,BE,94.34,94.34,88.01,88.15,88.15,92.65,14523,1330918.88,09-Jan-2025,65,INE00YB01017
DELAPLEX,SM,224.05,226.2,220.05,224.95,224.95,224,13200,2943780.00,09-Jan-2025,22,INE0SK801018
DYCL,EQ,1003,1011.8,960.7,967.35,973.75,1001.8,40032,39172727.25,09-Jan-2025,3731,INE600Y01019
364D120625,TB,97,97,97,97,97,96.89,1000,97000.00,09-Jan-2025,1,IN002024Z115
GSMFOILS,ST,115.15,115.15,115.15,115.15,115.15,115.15,14000,1612100.00,09-Jan-2025,5,INE0SQY01018
GLFL,BE,7.57,7.88,7.57,7.88,7.88,7.73,6066,46978.58,09-Jan-2025,14,INE540A01017
SHERA,SM,191,191.75,188.25,189,189,194,64000,12110400.00,09-Jan-2025,20,INE0MM001019
SIMPLEXINF,BE,320.9,329.9,313.5,324.85,322.8,315.4,81179,26263015.60,09-Jan-2025,620,INE059B01024
NESCO,EQ,1037,1043.25,1017,1020,1030,1037.8,39540,40763902.65,09-Jan-2025,5036,INE317F01035
SAHYADRI,EQ,314.8,319,306.45,309.6,312.9,313.2,6015,1871339.10,09-Jan-2025,672,INE280H01015
916SCL25,ZW,490,490,490,490,490,515,3,1470.00,09-Jan-2025,3,INE148I07NM7
LUMAXIND,EQ,2431.2,2498,2431.2,2461.8,2460,2436.05,3250,7991442.35,09-Jan-2025,819,INE162B01018
CIEINDIA,EQ,460.95,466.45,457.1,460.7,459.6,460.95,75359,34866323.85,09-Jan-2025,6588,INE536H01010
ESABINDIA,EQ,5505,5611,5449.35,5520.8,5535.8,5505,2254,12491821.45,09-Jan-2025,900,INE284A01012
GALAPREC,EQ,1295,1297.25,1211.7,1226.4,1235,1286.8,53071,66449050.40,09-Jan-2025,4352,INE0RE001014
GVPTECH,EQ,11.01,11.47,10.62,10.98,10.62,10.94,89232,995928.27,09-Jan-2025,486,INE382T01030
HDFCNIFTY,EQ,263.2,266.2,260,260.28,260.93,262.2,60433,15751765.95,09-Jan-2025,773,INF179KC1965
HOLMARC,ST,168,168,163.3,163.3,163.3,171.9,12000,1975875.00,09-Jan-2025,8,INE0LXA01019
SIGNATURE,EQ,1365,1365.85,1303.9,1308.7,1311,1362.75,556095,742972387.25,09-Jan-2025,13055,INE903U01023
SILVERETF,EQ,88.4,88.4,87.66,88.25,88.35,88.07,209706,18466523.63,09-Jan-2025,580,INF789F1AYK6
21STCENMGM,BE,88.35,91.7,88.3,89.99,89.99,90.06,4228,375087.08,09-Jan-2025,57,INE253B01015
AVL,EQ,514.2,514.2,496.15,500.25,499.1,514.25,74468,37402487.05,09-Jan-2025,3005,INE679V01027
AVG,EQ,335,350.05,328.25,331.85,329,335.2,82004,27733834.40,09-Jan-2025,3976,INE680Z01018
DYNAMATECH,EQ,7863.85,8050,7840,7939.45,7900,7850.55,9137,72564803.75,09-Jan-2025,3171,INE221B01012
INGERRAND,EQ,4025.8,4050,3990.1,4000.95,4012.55,4025.8,5508,22087085.15,09-Jan-2025,2157,INE177A01018
MIDSMALL,EQ,50.98,50.98,49.86,49.92,49.91,50.56,186281,9333037.11,09-Jan-2025,1622,INF769K01LJ8
SPECTRUM,SM,2301,2399.9,2301,2377,2370,2361.35,9250,21914406.25,09-Jan-2025,72,INE01EO01010
CLSL,SM,51.95,51.95,49.35,51.1,51.1,50.15,12000,612100.00,09-Jan-2025,6,INE00NH01017
FONEBOX,SM,115.8,119,115.7,116,116,111.05,8000,935450.00,09-Jan-2025,8,INE0Q4701019
GROWWLIQID,EQ,101.95,101.96,101.94,101.95,101.96,101.93,80434,8200562.23,09-Jan-2025,224,INF666M01IP5
INDOWIND,EQ,25.4,26.87,24.65,24.92,24.9,25.15,623050,15955850.46,09-Jan-2025,3856,INE227G01018
KEYFINSERV,BE,247.43,248,241,241.14,241.25,247.5,266,64884.60,09-Jan-2025,20,INE681C01015
KHAITANLTD,EQ,86.69,88.19,86,86.67,86.99,86.7,2294,197645.86,09-Jan-2025,134,INE731C01018
LAURUSLABS,EQ,608,616.3,607.35,613.05,613.35,611.1,1400832,858499872.75,09-Jan-2025,47217,INE947Q01028
SHREEPUSHK,EQ,310,342,302.5,304.6,305.5,313.7,253691,80735033.95,09-Jan-2025,8857,INE712K01011
TRIVENI,EQ,424.4,432,418.5,419.5,421,424.4,285469,121379057.10,09-Jan-2025,12310,INE256C01024
OBEROIRLTY,EQ,2262,2275.4,2217.95,2246.4,2240,2282.4,864248,1943831506.50,09-Jan-2025,49560,INE093I01010
REXPIPES,SM,66.9,66.9,66.9,66.9,66.9,68,2000,133800.00,09-Jan-2025,1,INE00D001018
NIF5GETF,EQ,59.44,59.55,59,59.41,59.55,59.25,10317,613144.19,09-Jan-2025,17,INF789F1AZE6
REFEX,EQ,503.9,526,496.3,500.75,497.2,501.8,446469,229491411.05,09-Jan-2025,8140,INE056I01025
SETF10GILT,EQ,244.44,244.45,242.01,243.05,243.19,243.78,20100,4885315.87,09-Jan-2025,82,INF200KA1JT1
KRISHCA,SM,284.05,292,284.05,289.35,292,290.5,6500,1873575.00,09-Jan-2025,13,INE0NR701018
MOKSH,EQ,18.74,19.19,18.5,18.73,18.55,18.74,106496,2012028.24,09-Jan-2025,783,INE514Y01020
AHLEAST,EQ,159.04,161.9,151.05,152.41,152,158.58,8953,1397843.96,09-Jan-2025,653,INE926K01017
AVIANSH,ST,107,108.25,106,108,108,107.4,10000,1072500.00,09-Jan-2025,5,INE0TFB01017
BLUECHIP,BE,8.93,8.93,8.93,8.93,8.93,9.12,56226,502098.18,09-Jan-2025,412,INE657B01025
CARERATING,EQ,1328,1340,1312,1328.7,1323,1324.15,23656,31337933.50,09-Jan-2025,3479,INE752H01013
FOCUS,EQ,126.02,127.7,125.55,126.29,126.44,126.33,68710,8663748.81,09-Jan-2025,966,INE593W01028
BSE500IETF,EQ,37.38,37.45,37,37.05,37.11,37.42,91003,3379312.28,09-Jan-2025,4785,INF109KC1V59
TCLCONS,EQ,46.99,48.59,45.5,46.68,46.5,46.87,83020,3895911.77,09-Jan-2025,1243,INE388G01026
OBSCP,ST,254.35,254.35,254.35,254.35,254.35,259.5,18000,4578300.00,09-Jan-2025,15,INE0YHV01011
LIQUIDSBI,EQ,1000,1000.01,999.99,999.99,999.99,1000.01,12919,12919077.19,09-Jan-2025,26,INF200KA13Z8
DAVANGERE,EQ,5.4,5.48,5.35,5.37,5.35,5.37,1309490,7084325.62,09-Jan-2025,2989,INE179G01029
GLOBUSSPR,EQ,841,855.5,817.1,820.6,822.6,846.3,74113,61860041.00,09-Jan-2025,3435,INE615I01010
PELATRO,ST,509.8,519,487,490.15,490.15,494.4,16200,8193360.00,09-Jan-2025,27,INE0VG601013
POCL,EQ,854.6,859.2,819.7,830.05,827,853.55,56802,47951979.15,09-Jan-2025,3590,INE063E01053
SERVICE,SM,74.75,75.5,74.75,75.05,75.05,77.95,10000,750900.00,09-Jan-2025,5,INE0P1Q01015
LOKESHMACH,EQ,317.5,320,311,312.2,313.8,315.6,29373,9253078.30,09-Jan-2025,868,INE397H01017
ASPIRE,ST,42.2,43.95,42.2,43.95,43.95,43.95,4000,172300.00,09-Jan-2025,2,INE0S7801010
AXISCETF,EQ,116.31,118,112.76,116.38,116.39,116.28,4968,578348.17,09-Jan-2025,52,INF846K016C7
BAJAJFINSV,EQ,1697,1700.5,1675,1690.3,1689,1697,1036731,1747528491.70,09-Jan-2025,65105,INE918I01026
ALPL30IETF,EQ,27.75,27.86,27.54,27.63,27.6,27.64,1438926,39848385.40,09-Jan-2025,1458,INF109KC17V7
TATASTEEL,EQ,132,132.4,129.7,129.93,130.12,132.64,31903107,4164281728.67,09-Jan-2025,252233,INE081A01020
POLYMED,EQ,2767,2793,2671.45,2690.15,2682.95,2756.3,69271,187584665.15,09-Jan-2025,13225,INE205C01021
PREMIUM,SM,45.5,46.5,45.5,46,46,45.5,105000,4786650.00,09-Jan-2025,9,INE0M1F01011
LAGNAM,EQ,121.06,127.39,121.06,123.31,123,121.06,25143,3129275.36,09-Jan-2025,824,INE548Z01017
MIDHANI,EQ,330.15,335.7,327,329.6,335.15,332.75,165544,54774934.60,09-Jan-2025,10286,INE099Z01011
AUSOMENT,BE,101.15,104.95,101,101.13,101,101.15,2730,279763.92,09-Jan-2025,43,INE218C01016
AVROIND,BE,217.92,217.92,217.92,217.92,217.92,222.37,36512,7956695.04,09-Jan-2025,56,INE652Z01017
CORALFINAC,EQ,53.04,56.4,51.8,52.2,52,52.33,114829,6155256.20,09-Jan-2025,1022,INE558D01021
GMRAIRPORT,EQ,77.36,77.36,75.86,76.08,76.09,76.81,5515487,422055523.11,09-Jan-2025,22684,INE776C01039
SREEL,EQ,257.2,264.6,255.75,263,261.2,254.85,5185,1356647.80,09-Jan-2025,304,INE099F01013
TATAGOLD,EQ,7.64,7.68,7.64,7.65,7.64,7.64,3241920,24845693.17,09-Jan-2025,14941,INF277KA1976
VENUSPIPES,EQ,1567.05,1580.65,1547.45,1566.9,1571,1556.95,37775,59074955.80,09-Jan-2025,5228,INE0JA001018
PIXTRANS,EQ,2480.95,2498.95,2387.05,2401.7,2412.95,2456.65,15786,38131739.40,09-Jan-2025,3513,INE751B01018
MPSLTD,EQ,1950,1990.75,1905,1927.35,1940,1966.6,8319,16218151.75,09-Jan-2025,2127,INE943D01017
UCAL,BE,192,192,183.51,186.1,183.51,186.74,8904,1667898.75,09-Jan-2025,107,INE139B01016
RANEENGINE,EQ,426,426,396.1,401.2,398.05,408.35,4555,1844966.50,09-Jan-2025,375,INE222J01013
SADHNANIQ,EQ,40.38,41,40.12,40.3,40.3,40.38,140686,5712988.73,09-Jan-2025,1320,INE888C01040
KONTOR,ST,121,121,116.05,121,121,121,2400,287430.00,09-Jan-2025,4,INE0KZ301010
MAANALU,BE,113,118.32,110,118.32,118.32,112.69,69474,8125995.24,09-Jan-2025,451,INE215I01027
SGBDEC26,GB,9158.4,9158.4,9158.4,9158.4,9158.4,9158.4,2,18316.80,09-Jan-2025,2,IN0020180389
901NHB34,N6,6270,6290,6261.05,6271.23,6276.99,6269.28,511,3205252.98,09-Jan-2025,48,INE557F07132
COROMANDEL,EQ,1935,1977.7,1927.5,1951.95,1959,1937.65,329372,644906417.25,09-Jan-2025,28102,INE169A01031
DHANI,EQ,102.31,103.8,95,95.57,95.49,102.29,7145167,705401770.82,09-Jan-2025,25559,INE274G01010
DWARKESH,EQ,53.8,54.3,52.25,52.33,52.34,53.87,540169,28643327.66,09-Jan-2025,6581,INE366A01041
GUJGASLTD,EQ,502,506.85,494.85,498.8,497.9,500.85,589257,295004540.85,09-Jan-2025,28053,INE844O01030
HDFCNIF100,EQ,25.34,25.34,24.5,24.72,24.71,24.84,124333,3081973.80,09-Jan-2025,422,INF179KC1HR4
UNOMINDA,EQ,1057.7,1078.4,1055,1066.3,1060,1069.4,291553,311913182.65,09-Jan-2025,24316,INE405E01023
NOIDATOLL,BE,9.46,9.46,9.46,9.46,9.46,9.96,39703,375590.38,09-Jan-2025,155,INE781B01015
JINDALSTEL,EQ,940.85,941.65,921,931.55,929.15,942.55,1652891,1537078455.55,09-Jan-2025,35360,INE749A01030
KHANDSE,EQ,27.45,28.65,27.13,28.36,28.44,27.48,20895,585804.75,09-Jan-2025,445,INE060B01014
GENCON,EQ,42,42,40,40.22,40.01,40.88,42299,1719936.31,09-Jan-2025,1112,INE854S01022
GREAVESCOT,EQ,274.65,274.65,261.5,264.35,262.2,274.95,3931227,1048724059.65,09-Jan-2025,31953,INE224A01026
TAINWALCHM,EQ,266.8,272.95,266,266.2,266.05,268.15,4366,1173633.90,09-Jan-2025,406,INE123C01018
TUNWAL,SM,45.5,45.7,45.05,45.3,45.2,45.5,70000,3174300.00,09-Jan-2025,35,INE0OXV01027
VERA,ST,83.05,83.05,82.75,82.75,82.75,87,7500,621900.00,09-Jan-2025,5,INE709Z01015
WONDERLA,EQ,780,785,751.85,757.85,761.1,770.6,34402,26222256.05,09-Jan-2025,4453,INE066O01014
ROML,EQ,58.49,58.96,56.22,57.14,57.5,57.22,3772,217993.55,09-Jan-2025,183,INE294G01026
SAKSOFT,EQ,210,211.5,205,206.02,206.4,210.53,87278,18193225.70,09-Jan-2025,3562,INE667G01023
KIRLOSENG,EQ,990.7,990.7,959.8,966.7,969,990.7,156695,152109672.90,09-Jan-2025,16376,INE146L01010
KITEX,BE,699.8,715,675,684.7,680,687.55,138431,96405781.75,09-Jan-2025,2633,INE602G01020
LAMBODHARA,BE,168.99,168.99,163.01,164.92,165.97,166.31,6107,1014520.81,09-Jan-2025,98,INE112F01022
SILVRETF,EQ,88.08,88.68,88.08,88.52,88.64,88.25,13759,1215905.97,09-Jan-2025,115,INF769K01KG6
CYIENT,EQ,1813.8,1845,1780,1793.8,1798,1799.15,304015,550231637.95,09-Jan-2025,43986,INE136B01020
DSSL,EQ,1500.05,1610,1483,1503.8,1509.9,1491.35,109254,169551744.35,09-Jan-2025,12378,INE417B01040
ICICIPRULI,EQ,653,657.15,644.65,646.85,648.5,652.95,790168,511442072.30,09-Jan-2025,30250,INE726G01019
SUPREMEINF,BZ,132.55,132.55,129.89,129.89,129.89,132.55,2401,317749.81,09-Jan-2025,12,INE550H01011
PLAZACABLE,EQ,77.5,77.5,74.1,74.76,74.69,75.42,18683,1405989.74,09-Jan-2025,629,INE0INJ01017
RNFI,ST,284.5,285,274,278.25,279.5,272.35,151200,42507120.00,09-Jan-2025,101,INE0SA001017
SAKUMA,BE,3.83,3.83,3.74,3.74,3.74,3.78,1413763,5336497.30,09-Jan-2025,1867,INE190H01024
LAOPALA,EQ,313.9,323,313.9,318,315.2,317.75,38041,12047518.30,09-Jan-2025,1582,INE059D01020
MANAKALUCO,EQ,30.55,31.84,30,30.14,30.05,31,13042,399242.14,09-Jan-2025,476,INE859Q01017
BAGFILMS,BE,9.57,9.69,9.21,9.37,9.5,9.57,80371,763540.91,09-Jan-2025,311,INE116D01028
CANFINHOME,EQ,705.4,708.35,692.05,693.1,695.55,705.4,243903,169995361.20,09-Jan-2025,14283,INE477A01020
EBBETF0431,EQ,1294,1294.25,1289.25,1293.21,1290.83,1290.1,6535,8449734.22,09-Jan-2025,111,INF754K01LE1
GEPIL,EQ,345,354.95,336.25,341.65,342,345.9,135077,46012706.45,09-Jan-2025,4045,INE878A01011
ZUARIIND,EQ,319.1,322.95,312,313.75,314.8,319.1,40404,12808231.15,09-Jan-2025,1651,INE217A01012
PNCINFRA,EQ,307,310,303.35,306,304.3,307.8,260420,79816812.05,09-Jan-2025,11651,INE195J01029
990SCL26,N7,756,797,725,742.57,744,756.99,180,137175.00,09-Jan-2025,12,INE148I07PY7
SEQUENT,EQ,192.75,193.69,185.6,186.42,186,192.69,275879,52019251.85,09-Jan-2025,6303,INE807F01027
SGBJAN27,GB,8035.35,8035.35,8035.35,8035.35,8035.35,8099.99,19,152671.65,09-Jan-2025,5,IN0020180462
AARTIIND,EQ,398.55,417.35,397.85,413.4,414.95,397.85,7735966,3167832803.10,09-Jan-2025,113688,INE769A01020
GANGAFORGE,EQ,6.65,7.1,6.65,7.02,6.99,6.77,545852,3799653.93,09-Jan-2025,1101,INE691Z01023
71GS2034,GS,102.1,104.15,102.1,102.6,102.6,102.1,255,26136.35,09-Jan-2025,5,IN0020240019
WABAG,EQ,1541.05,1555.5,1501,1506.5,1509,1541.05,219192,334009744.50,09-Jan-2025,26925,INE956G01038
VRLLOG,EQ,496.65,512,496.65,502.45,500.95,504.2,42906,21547052.25,09-Jan-2025,5222,INE366I01010
ARENTERP,BE,50.59,51.75,48.75,50.8,51.75,51.18,10389,519881.91,09-Jan-2025,46,INE610C01014
LPDC,BE,9.94,10.1,9.58,9.76,10.05,9.9,18303,178415.38,09-Jan-2025,119,INE197J01017
LICHSGFIN,EQ,584.05,587.4,565.7,573.45,573,582.85,2416674,1386663892.40,09-Jan-2025,69369,INE115A01026
ACCURACY,EQ,10.35,10.35,9.9,10.28,10.3,10.24,184302,1867271.92,09-Jan-2025,960,INE648Z01023
ALKYLAMINE,EQ,1750.45,1968.8,1741.05,1870.2,1837,1738.8,2355843,4496567782.35,09-Jan-2025,227974,INE150B01039
BIKAJI,EQ,721.65,736.4,718,723.95,725.8,720.15,305092,222133289.20,09-Jan-2025,17202,INE00E101023
GARUDA,EQ,146.88,146.88,135.9,137.61,136.8,146.9,2459338,344963966.23,09-Jan-2025,18334,INE0JVO01026
GOKEX,EQ,1103,1113.45,1067.7,1082.35,1088,1118.05,51774,56187942.10,09-Jan-2025,6554,INE887G01027
GULPOLY,EQ,175.95,178.89,173,173.94,173,176.79,57403,10069422.82,09-Jan-2025,1421,INE255D01024
HITECHCORP,EQ,246.9,249,231.35,238.13,235,245.24,17853,4287460.32,09-Jan-2025,1000,INE120D01012
TPLPLASTEH,EQ,100.89,100.89,95.85,97.28,97.96,99.38,155511,15230122.83,09-Jan-2025,1716,INE413G01022
USASEEDS,SM,206.3,210.1,206.25,210.05,210.05,218,1800,374775.00,09-Jan-2025,6,INE0CBM01019
ORIANA,SM,2180.95,2218,2133.15,2159.4,2160,2180.95,86250,186534952.50,09-Jan-2025,988,INE0OUT01019
ORTINGLOBE,EQ,17.78,18.4,17.25,17.54,17.8,17.77,4833,85232.18,09-Jan-2025,83,INE749B01020
IRCON,EQ,206.33,209.9,199.1,204.37,203.4,206.33,2709569,559799310.13,09-Jan-2025,37098,INE962Y01021
JALAN,ST,10.65,10.65,10.65,10.65,10.65,10.45,282000,3003300.00,09-Jan-2025,28,INE349X01015
KSCL,EQ,921.05,935,916.55,926.9,925.2,921.05,74317,68727700.80,09-Jan-2025,7301,INE455I01029
SGBOCT25IV,GB,7951,7951,7951,7951,7951,8049.97,10,79510.00,09-Jan-2025,1,IN0020170067
ANANTRAJ,EQ,935.55,936,896.5,905.15,903,935.55,1544009,1406475861.95,09-Jan-2025,48658,INE242C01024
FLAIR,EQ,268.95,270.55,260,263.3,263.4,265.15,168220,44601810.40,09-Jan-2025,6767,INE00Y201027
UNITDSPR,EQ,1561,1598.5,1561,1574.45,1575.25,1575.8,777640,1229432917.55,09-Jan-2025,37836,INE854D01024
JUNIORBEES,EQ,713.7,713.7,688.5,700.97,702.4,709.8,289225,203549510.13,09-Jan-2025,15732,INF732E01045
PURPLEUTED,SM,180,180,170,173.6,172,182.55,41000,7113350.00,09-Jan-2025,31,INE0P5R01014
SAGCEM,EQ,218,221.86,217.1,220.83,221.86,218.91,31328,6875482.71,09-Jan-2025,1404,INE229C01021
1015ECL29,NR,994,994,985.5,986,986,985,33,32670.00,09-Jan-2025,3,INE804IA7014
SGBJUL25,GB,7930.8,7971,7930.8,7971,7971,7994,16,127134.00,09-Jan-2025,3,IN0020170034
INDIANHUME,EQ,372.85,382.95,368,370.55,369.85,370.1,51669,19387667.75,09-Jan-2025,2130,INE323C01030
