SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
AKUMS,EQ,610.6,620.9,610,611.6,613.3,607.6,110518,67992238.80,07-Jan-2025,4493,INE09XN01023
DRONE,ST,202.7,202.7,202.7,202.7,202.7,206.8,9000,1824300.00,07-Jan-2025,17,INE0P7201019
NETWORK18,EQ,69.49,70.25,68.52,68.99,69,68.95,3080407,213026178.11,07-Jan-2025,19110,INE870H01013
PPSL,SM,35.2,36,34,35.95,36,33.6,126000,4434000.00,07-Jan-2025,39,INE0YAL01017
SAHAJSOLAR,ST,549.7,560,534,539,536,551.2,25400,13797250.00,07-Jan-2025,106,INE0P4701011
1050ISFL28,N5,965,965,965,965,965,954.7,115,110975.00,07-Jan-2025,2,INE413U07251
SUBEXLTD,EQ,21.9,22.48,21.9,22.24,22.24,21.78,2296914,51147590.47,07-Jan-2025,6286,INE754A01055
SUNDRMFAST,EQ,1047.7,1061.95,1046.05,1057.2,1053.05,1047.7,22339,23553712.15,07-Jan-2025,3987,INE387A01021
VISHNUINFR,ST,260.95,263.65,255,263.45,263.65,251.1,67500,17713800.00,07-Jan-2025,83,INE0PQ001012
IKS,EQ,1878.35,1983.85,1871.05,1973.95,1975,1867.35,534478,1039658038.80,07-Jan-2025,29970,INE115Q01022
RUSTOMJEE,EQ,645,668.95,641.25,658.15,663.3,645.6,13805,8992681.90,07-Jan-2025,2822,INE263M01029
MON100,EQ,211.15,214.35,204,204.09,204.1,205.02,910157,188205600.68,07-Jan-2025,17066,INF247L01AP3
NAHARPOLY,EQ,253.1,264.7,253.1,262.65,264,252.95,16702,4311668.55,07-Jan-2025,873,INE308A01027
AAVAS,EQ,1698,1709.7,1682.1,1699.45,1690.1,1691,98439,166925441.70,07-Jan-2025,11873,INE216P01012
AWHCL,EQ,609.9,623.7,609.9,618.6,620,608.2,81105,50025043.55,07-Jan-2025,3698,INE01BK01022
CONSOFINVT,EQ,205.15,214.95,205.15,207.52,208.89,208.41,4055,845956.80,07-Jan-2025,207,INE025A01027
SGBSEP31II,GB,8300.86,8355,8300.86,8316.74,8317,8300.86,1125,9345046.19,07-Jan-2025,102,IN0020230093
BASF,EQ,5385,5434.9,5340,5364.25,5342,5350.8,15412,83020823.10,07-Jan-2025,4897,INE373A01013
EXICOM,EQ,242.45,243.25,236.21,238.19,238.1,240.11,260386,62159032.27,07-Jan-2025,7172,INE777F01014
GEOJITFSL,EQ,109.38,111,108.33,109.85,111,108.32,303974,33346489.76,07-Jan-2025,5986,INE007B01023
HINDCOMPOS,EQ,525,540,525,534.55,534.5,526.2,4731,2525237.40,07-Jan-2025,698,INE310C01029
HYUNDAI,EQ,1803.05,1848.9,1803.05,1833,1827,1801.15,925887,1693218283.20,07-Jan-2025,64540,INE0V6F01027
PPLPHARMA,EQ,248.1,253.35,248.1,250.5,250.95,247.65,2470327,620665271.15,07-Jan-2025,55786,INE0DK501011
REFRACTORY,ST,88.5,91,84.4,85.9,86,88.45,32000,2772200.00,07-Jan-2025,19,INE0TNX01015
VPRPL,EQ,284.65,290.3,282.25,288.15,288.2,281.1,639848,183693388.90,07-Jan-2025,16141,INE0AE001013
KREBSBIO,BE,94.95,99.4,94,97,97,94.95,965,93173.99,07-Jan-2025,24,INE268B01013
21STCENMGM,BE,92.74,92.74,89.31,90.04,90.75,91.14,5604,505779.28,07-Jan-2025,107,INE253B01015
AVL,EQ,458.55,504.95,458.55,500.3,500.1,501,190478,95049386.00,07-Jan-2025,11737,INE679V01027
AVG,EQ,353.65,359,347.55,348.8,349.45,350.65,33591,11778280.70,07-Jan-2025,1520,INE680Z01018
DYNAMATECH,EQ,7877.85,8089,7850.1,8060.9,8066,7877.85,7435,59263601.10,07-Jan-2025,3297,INE221B01012
SPECTRUM,SM,2200,2289,2200,2275.15,2270,2175.6,9625,21801350.00,07-Jan-2025,51,INE01EO01010
INGERRAND,EQ,4005.4,4076.2,4000.15,4048.7,4058.85,4024.15,8047,32518082.20,07-Jan-2025,2761,INE177A01018
MIDSMALL,EQ,51.37,51.43,50.9,51.28,51.24,50.78,47966,2455872.46,07-Jan-2025,566,INF769K01LJ8
CHEMCON,EQ,222.8,226.99,222.8,224.67,223.2,222.8,15979,3592872.27,07-Jan-2025,957,INE03YM01018
NIRAJ,BE,66.55,67,66.34,66.34,66.34,67.7,36130,2411053.99,07-Jan-2025,77,INE368I01016
NTPC,EQ,327,330.35,325.1,328.6,327.7,327.5,13891401,4556191168.55,07-Jan-2025,356573,INE733E01010
SAH,BE,86,87.99,83.5,85.67,86,85.05,7067,601512.21,07-Jan-2025,21,INE035801013
94SFL28,YL,1070,1070,1065.01,1065.01,1065.01,1064.01,110,117650.10,07-Jan-2025,2,INE721A07NX5
SOUTHWEST,EQ,146.3,151.74,142.81,147.74,147.7,143.77,70936,10472656.59,07-Jan-2025,1371,INE980Y01015
SRM,EQ,400,401,376.1,385.55,383.2,402.85,125871,48873977.90,07-Jan-2025,3590,INE0R6Z01013
VLSFINANCE,EQ,333.2,336.9,328.35,333.35,336,332.2,29054,9690805.15,07-Jan-2025,2119,INE709A01018
IRCTC,EQ,770,783.4,770,775.4,774.6,770.35,676868,525767526.45,07-Jan-2025,39698,INE335Y01020
INTENTECH,EQ,128.61,130.58,126,129.41,130.5,126.08,13234,1697695.00,07-Jan-2025,498,INE781A01025
LIBERTSHOE,EQ,481.75,515,481.7,510.95,511,489.35,28187,14137054.45,07-Jan-2025,1629,INE557B01019
CIEINDIA,EQ,471.5,471.95,465.5,468.95,470.1,471.8,95443,44798551.05,07-Jan-2025,10918,INE536H01010
ESABINDIA,EQ,5755.5,5757.5,5594.95,5608.2,5596,5723.3,5404,30410187.60,07-Jan-2025,1242,INE284A01012
GALAPREC,EQ,1275,1326.5,1275,1304.1,1302,1258.3,84743,110276659.30,07-Jan-2025,6961,INE0RE001014
GVPTECH,EQ,11.21,11.66,11.04,11.31,11.3,11.45,94497,1064759.14,07-Jan-2025,540,INE382T01030
HDFCNIFTY,EQ,264.39,265,261.52,262.46,265,261.73,66599,17482632.76,07-Jan-2025,998,INF179KC1965
HOLMARC,ST,166,166,166,166,166,166,1500,249000.00,07-Jan-2025,1,INE0LXA01019
SAHYADRI,EQ,321.6,321.6,305,309.15,313.25,314.75,9830,3057944.50,07-Jan-2025,567,INE280H01015
916SCL25,ZW,515,515,515,515,515,530,5,2575.00,07-Jan-2025,1,INE148I07NM7
SIGNATURE,EQ,1358,1386.85,1341,1352.65,1351,1348.3,534408,728652466.85,07-Jan-2025,14185,INE903U01023
SILVERETF,EQ,87.24,88.08,87.24,88,88.05,86.81,146821,12888553.82,07-Jan-2025,1130,INF789F1AYK6
LUMAXIND,EQ,2427.85,2490,2414.6,2485.95,2475,2427.85,5524,13555206.75,07-Jan-2025,954,INE162B01018
NESCO,EQ,1024.95,1048.95,1000,1033.8,1031.25,993.1,233049,239693850.40,07-Jan-2025,23668,INE317F01035
GAIL,EQ,186.31,189.28,183.96,186.06,187,184.67,14521936,2712764391.44,07-Jan-2025,192434,INE129A01019
GSEC5IETF,EQ,58.7,59.38,58.7,58.83,58.83,58.55,2055,120771.10,07-Jan-2025,8,INF109KC14A8
PRECISION,ST,42.2,44.2,40.2,41.95,41.95,42.3,56000,2294000.00,07-Jan-2025,22,INE0HKW01018
PRINCEPIPE,EQ,407.05,417.5,403.6,404.9,404.7,407.9,151566,61854941.65,07-Jan-2025,14100,INE689W01016
SDREAMS,SM,179.1,179.1,164.6,165.35,165.35,161.7,19000,3196900.00,07-Jan-2025,17,INE0X6F01017
925SCL26D,ZD,960,960,960,960,960,968,10,9600.00,07-Jan-2025,1,INE148I07TC5
SDBL,EQ,110.89,121.59,110.88,117.65,118.4,110.22,3719136,439321920.84,07-Jan-2025,42971,INE480C01038
TIPSMUSIC,EQ,715.3,734.5,701.6,726.5,727,711.6,423845,306738349.00,07-Jan-2025,23034,INE716B01029
JSFB,EQ,399,409.55,392.7,400.5,398.45,394,101029,40515161.15,07-Jan-2025,3552,INE953L01027
JMFINANCIL,EQ,122.6,125.2,121.8,124.39,123.8,121,2276492,281493731.81,07-Jan-2025,23274,INE780C01023
KABRAEXTRU,EQ,531.05,564.65,531.05,558.6,560,537.95,87896,48582293.10,07-Jan-2025,3467,INE900B01029
KOKUYOCMLN,EQ,124.27,129.99,124.27,126.83,126.1,124.27,77160,9814323.30,07-Jan-2025,1629,INE760A01029
ASPIRE,ST,46,46,46,46,46,46,4000,184000.00,07-Jan-2025,2,INE0S7801010
AXISCETF,EQ,117.64,119,116,116.64,116,117.64,1580,184176.70,07-Jan-2025,91,INF846K016C7
BAJAJFINSV,EQ,1692,1703.65,1674.2,1682.75,1680.05,1684.6,1242573,2100020175.40,07-Jan-2025,83242,INE918I01026
ALPL30IETF,EQ,28.01,28.06,26.41,27.46,27.8,27.92,510548,14163770.73,07-Jan-2025,2418,INF109KC17V7
PELATRO,ST,454,476,451.1,472.7,469,468.35,8400,3883950.00,07-Jan-2025,13,INE0VG601013
POCL,EQ,854,875.65,845.25,868.25,867,850.55,41518,35919055.40,07-Jan-2025,3256,INE063E01053
965SCL25F,NZ,920,920,920,920,920,920,50,46000.00,07-Jan-2025,1,INE148I07RB1
SERVICE,SM,75.5,76,74.25,75.1,75.1,77,12000,901100.00,07-Jan-2025,6,INE0P1Q01015
TATASTEEL,EQ,132.78,133.88,132.01,133.38,133.18,132.18,24239451,3224973077.16,07-Jan-2025,193472,INE081A01020
LOKESHMACH,EQ,319.7,326,317.1,324.5,323.95,318.05,41436,13352183.80,07-Jan-2025,1070,INE397H01017
BVCL,EQ,48.95,50.3,47.5,49.37,49.8,48.21,59190,2909019.07,07-Jan-2025,1589,INE139I01011
C2C,SM,822.05,841.5,800,810.75,809.9,815.5,248400,204242310.00,07-Jan-2025,345,INE0U7V01015
GODREJPROP,EQ,2635,2676.5,2621.65,2652.15,2647.3,2616.1,310336,822834330.45,07-Jan-2025,30292,INE484J01027
HINDCOPPER,EQ,236.4,242.45,235,238.13,237.9,235.64,3337163,798537365.28,07-Jan-2025,39303,INE531E01026
85IIFL25,NO,1078,1078,1078,1078,1078,1080,40,43120.00,07-Jan-2025,2,INE530B07252
SYNCOMF,EQ,19.52,20.09,19.24,19.57,19.56,19.68,3535243,69779261.85,07-Jan-2025,11842,INE312C01025
TTL,BE,150.1,150.1,145,146.59,148.8,149.9,22452,3315784.52,07-Jan-2025,278,INE592B01016
THANGAMAYL,EQ,1947.75,2075,1942,2058.6,2052.5,1940.8,57811,117046853.90,07-Jan-2025,8225,INE085J01014
IRISDOREME,EQ,61.82,62.69,61.2,61.6,61.52,61.56,74083,4572830.21,07-Jan-2025,590,INE01GN01025
MDL,SM,120,129,120,123.75,125.25,120,10000,1248250.00,07-Jan-2025,10,INE575Z01010
CLEDUCATE,EQ,108.5,110.2,107.43,109.63,109.28,108.4,71321,7775012.45,07-Jan-2025,1180,INE201M01029
DELTACORP,EQ,109.07,110.74,108.8,109.62,109.75,109.22,740363,81280133.49,07-Jan-2025,7874,INE124G01033
DVL,EQ,358.55,364.9,350.75,360.7,362.35,350.9,21269,7573439.50,07-Jan-2025,1298,INE477B01010
DIVYADHAN,SM,72.05,72.1,71.9,72,72,74,120000,8630700.00,07-Jan-2025,11,INE0QYI01019
GLOBALE,BE,28.66,29.5,28,28.85,28.85,28.1,606,17242.64,07-Jan-2025,39,INE0URU01010
SYLVANPLY,SM,90,90,89,89.25,89.5,86.45,14000,1255600.00,07-Jan-2025,7,INE01IH01015
RAMCOCEM,EQ,956.95,964.6,947.2,956.8,953.45,952.15,179910,171940524.00,07-Jan-2025,10147,INE331A01037
VETO,BE,131.99,134.89,130.35,131.17,132.74,132.1,30278,3985608.52,07-Jan-2025,189,INE918N01018
MEGASOFT,EQ,99,102.39,98.77,102.39,102.39,97.52,1134255,115556673.53,07-Jan-2025,3418,INE933B01012
SGBDEC25,GB,8375,8375,8375,8375,8375,8385,2,16750.00,07-Jan-2025,1,IN0020170125
AIRTELPP,E1,1172,1182.95,1160.5,1175.05,1175,1171.55,155085,182204165.25,07-Jan-2025,3592,IN9397D01014
