SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
UNOMINDA,EQ,1056.6,1115.9,1048.45,1097.65,1105,1066.3,849726,918889145.65,10-Jan-2025,60390,INE405E01023
901NHB34,N6,6300,6300,6205,6230.31,6248.9,6271.23,776,4838544.85,10-Jan-2025,65,INE557F07132
COROMANDEL,EQ,1951.5,1955,1905.7,1922.45,1921.7,1951.95,342073,658378382.70,10-Jan-2025,28451,INE169A01031
KONTOR,ST,121,121,115.8,116.95,115.9,121,10800,1279530.00,10-Jan-2025,18,INE0KZ301010
MAANALU,BE,122.9,124.23,120,124.22,124.23,118.32,151907,18812234.26,10-Jan-2025,958,INE215I01027
RANEENGINE,EQ,408.95,408.95,385,386.65,385,401.2,4967,1950961.60,10-Jan-2025,515,INE222J01013
SADHNANIQ,EQ,40.35,40.81,37.47,38.49,38.69,40.3,689572,26596344.89,10-Jan-2025,4613,INE888C01040
DHANI,EQ,95.89,97.23,91.47,94.25,94.9,95.57,6607907,625287103.82,10-Jan-2025,22247,INE274G01010
DWARKESH,EQ,51.8,52.22,49.29,49.79,49.7,52.33,1033433,52236234.24,10-Jan-2025,9681,INE366A01041
GUJGASLTD,EQ,498.8,499.8,484.85,486.05,486.7,498.8,436665,213547098.10,10-Jan-2025,17716,INE844O01030
HDFCNIF100,EQ,25.21,25.59,24.42,24.67,24.5,24.72,59777,1473290.83,10-Jan-2025,535,INF179KC1HR4
AAVAS,EQ,1671.3,1685,1653,1667.55,1665,1679.75,540349,897752433.65,10-Jan-2025,21545,INE216P01012
AWHCL,EQ,602.35,637.95,583.85,611.55,619.8,595.6,377556,232829116.30,10-Jan-2025,18237,INE01BK01022
BRACEPORT,ST,98,100,96,100,100,98,14400,1422240.00,10-Jan-2025,9,INE0R4Z01018
CONSOFINVT,EQ,203,210.19,200,200.37,201.55,203.19,10554,2130385.97,10-Jan-2025,471,INE025A01027
VPRPL,EQ,269.95,269.95,255.5,259.25,259.45,271.45,1326035,346448631.45,10-Jan-2025,36905,INE0AE001013
SGBSEP31II,GB,8366.9,8400,8300,8308.8,8300,8366.93,1432,11953934.16,10-Jan-2025,155,IN0020230093
BASF,EQ,5277.5,5277.5,5100,5111.45,5101,5277.5,21739,112111785.75,10-Jan-2025,5737,INE373A01013
KREBSBIO,BE,91.25,93.98,90.6,91.06,90.6,95.25,3748,343011.21,10-Jan-2025,63,INE268B01013
PPLPHARMA,EQ,237.15,238.95,218,221.25,225.05,237.15,10003146,2240918148.55,10-Jan-2025,135817,INE0DK501011
REFRACTORY,ST,80,80.75,78.75,80.75,80.75,80,11000,875100.00,10-Jan-2025,11,INE0TNX01015
EXICOM,EQ,275.71,275.71,251.9,256.01,257.9,262.59,1306835,345293309.95,10-Jan-2025,20449,INE777F01014
GEOJITFSL,EQ,105.01,106.02,101.7,105.05,105.5,105.68,465903,48446371.01,10-Jan-2025,6296,INE007B01023
HINDCOMPOS,EQ,505.8,525.95,487.35,489.45,487.4,510.45,10992,5470037.35,10-Jan-2025,1293,INE310C01029
HYUNDAI,EQ,1781,1799,1774.4,1787.6,1790,1785.55,543447,971474932.25,10-Jan-2025,39619,INE0V6F01027
ZOTA,EQ,1010,1049.95,975.15,994.45,980,1014.25,505861,514372471.85,10-Jan-2025,16044,INE358U01012
SGBNOV25,GB,8000,8000,8000,8000,8000,8000,1,8000.00,10-Jan-2025,1,IN0020170091
ABB,EQ,6480,6545.95,6363,6415.65,6417.05,6482.45,259956,1675386434.00,10-Jan-2025,36228,INE117A01022
BANARISUG,EQ,3660.7,3675,3648.1,3653.2,3650,3651.75,1023,3736298.40,10-Jan-2025,203,INE459A01010
TARIL,BE,1154,1169,1119.85,1119.85,1119.85,1178.75,378908,428107183.45,10-Jan-2025,11685,INE763I01026
ORBTEXP,BE,210,217,205.05,208.1,207,212.89,19064,4015245.39,10-Jan-2025,325,INE231G01010
SSDL,EQ,123.98,126.98,120.01,121.55,122.83,123.98,59751,7294231.84,10-Jan-2025,2097,INE0PQ101010
965SCL26,YO,1033.5,1033.5,1033.5,1033.5,1033.5,1015.2,21,21703.50,10-Jan-2025,3,INE148I07SD5
AHLEAST,EQ,153.66,156.99,149.33,150.29,152.4,152.41,21683,3287693.89,10-Jan-2025,968,INE926K01017
AVIANSH,ST,108.5,108.5,104.5,105.5,105.5,108,14000,1482000.00,10-Jan-2025,7,INE0TFB01017
BLUECHIP,BE,8.75,8.75,8.75,8.75,8.75,8.93,60661,530783.75,10-Jan-2025,486,INE657B01025
CARERATING,EQ,1338,1338,1264.15,1276.85,1289.9,1328.7,57203,73854607.65,10-Jan-2025,6356,INE752H01013
KRISHCA,SM,284.15,289,272.1,274.35,273.15,289.35,24500,6852650.00,10-Jan-2025,49,INE0NR701018
MOKSH,EQ,18.55,18.92,17.64,17.79,17.8,18.73,179612,3245247.45,10-Jan-2025,1196,INE514Y01020
