SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
RANEENGINE,EQ,401.2,417.8,401.2,413.35,411,405.3,3711,1532246.25,01-Jan-2025,634,INE222J01013
SADHNANIQ,EQ,40.49,41.75,40.3,41.27,41.06,40.28,424234,17536129.23,01-Jan-2025,2834,INE888C01040
UNOMINDA,EQ,1058,1072.4,1040,1058.85,1057,1053.2,215442,226708791.45,01-Jan-2025,13982,INE405E01023
901NHB34,N6,6370,6370,6180,6226.08,6200,6344.27,2547,15849638.40,01-Jan-2025,174,INE557F07132
COROMANDEL,EQ,1893.3,1934.9,1875.6,1928.75,1920.6,1879.95,822664,1566659875.50,01-Jan-2025,48852,INE169A01031
KONTOR,ST,122.25,123,122.25,122.25,122.25,122.25,1800,220500.00,01-Jan-2025,3,INE0KZ301010
MAANALU,BE,126,126.99,119,121.83,121.25,123.91,54814,6771452.49,01-Jan-2025,533,INE215I01027
DHANI,EQ,94.5,95.7,93.35,94.46,94.04,93.9,2173847,205411450.64,01-Jan-2025,8326,INE274G01010
DWARKESH,EQ,55.86,58.5,55.86,57.8,58.13,55.86,697195,40097782.44,01-Jan-2025,5513,INE366A01041
GUJGASLTD,EQ,502.25,505,494.1,503.95,504,498.7,298004,149062219.70,01-Jan-2025,10414,INE844O01030
HDFCNIF100,EQ,25.49,25.49,24.9,25.11,25.15,25,24024,602470.43,01-Jan-2025,341,INF179KC1HR4
BSLGOLDETF,EQ,68.29,68.29,67.67,67.8,67.86,67.9,37065,2515508.43,01-Jan-2025,382,INF209KB18D3
APCL,EQ,168.75,175,161.93,168.49,171,166.29,7733,1284559.63,01-Jan-2025,388,INE071F01012
ASHAPURMIN,EQ,389.5,410,388,403.95,410,389.3,253814,102267381.85,01-Jan-2025,3366,INE348A01023
BASML,EQ,54,54.14,51.98,52.92,53,53.76,51569,2727764.35,01-Jan-2025,558,INE186H01022
IEML,SM,232,232.95,220,231.45,231.45,228.7,10000,2287275.00,01-Jan-2025,19,INE0RRU01016
JYOTISTRUC,EQ,27.89,29.14,27.5,28.61,28.59,27.95,15307857,434157645.60,01-Jan-2025,20838,INE197A01024
ONDOOR,ST,274.9,274.9,260,264.7,261.5,270.2,6900,1829325.00,01-Jan-2025,21,INE00ER01015
SJLOGISTIC,ST,637.85,663,610,654.4,656.5,637.85,38250,24607500.00,01-Jan-2025,129,INE0F3301020
753IRFC30,NJ,1105.5,1105.5,1100.01,1100.65,1100.65,1106.5,825,908629.20,01-Jan-2025,19,INE053F07835
TIIL,EQ,2758.9,2786.5,2735.35,2758.3,2765,2730.6,7133,19664065.05,01-Jan-2025,1964,INE545H01011
VINYAS,ST,920,920,900,909,909,905,2400,2191200.00,01-Jan-2025,12,INE0OLS01010
INGERRAND,EQ,4175,4213.35,4162.55,4199.05,4199,4174.35,11522,48314629.90,01-Jan-2025,2247,INE177A01018
MIDSMALL,EQ,51.53,53.3,51.34,51.88,51.89,51.52,211498,10948551.92,01-Jan-2025,691,INF769K01LJ8
DYNAMATECH,EQ,8401,8639.9,8342.7,8502,8570,8461.35,17136,146166680.85,01-Jan-2025,4273,INE221B01012
SPECTRUM,SM,2290.1,2290.1,2224.95,2255.2,2224.95,2290.1,2375,5359262.50,01-Jan-2025,15,INE01EO01010
21STCENMGM,BE,90.96,90.96,88.6,89.43,90.95,89.18,5707,512424.28,01-Jan-2025,86,INE253B01015
AVL,EQ,513.25,525,508,518.4,517,509.25,39495,20314728.55,01-Jan-2025,1887,INE679V01027
AVG,EQ,371,381,371,375.1,371.2,373.85,31981,12001362.95,01-Jan-2025,1985,INE680Z01018
LOKESHMACH,EQ,313.45,323.55,311.15,320.15,319.75,314.15,85787,27460747.50,01-Jan-2025,2469,INE397H01017
ALPL30IETF,EQ,28.49,28.49,27.94,28.11,28.25,28.78,1088225,30571896.17,01-Jan-2025,3689,INF109KC17V7
PELATRO,ST,501,501,477,481,481,501.9,9600,4629210.00,01-Jan-2025,16,INE0VG601013
POCL,EQ,858,888.1,842,885.35,888.1,845.85,78962,68790022.20,01-Jan-2025,3873,INE063E01053
SERVICE,SM,78.95,80.5,78.95,78.95,78.95,78.7,10000,795700.00,01-Jan-2025,5,INE0P1Q01015
ASPIRE,ST,43,43.05,43,43.05,43.05,41,8000,344100.00,01-Jan-2025,3,INE0S7801010
AXISCETF,EQ,115.66,116.91,115.61,116.75,116.35,116.22,612,71120.08,01-Jan-2025,28,INF846K016C7
BAJAJFINSV,EQ,1565,1584.05,1565,1576.4,1577,1568.1,464064,731611055.30,01-Jan-2025,39434,INE918I01026
TATASTEEL,EQ,138.1,138.45,136.58,136.74,136.87,138.05,18169498,2490238878.67,01-Jan-2025,167193,INE081A01020
KONSTELEC,ST,124.5,126.8,124.5,126.8,126.8,126.85,9000,1132800.00,01-Jan-2025,9,INE0QEI01011
GENUSPAPER,EQ,21.96,22.24,21.57,21.72,21.8,21.73,185034,4036905.16,01-Jan-2025,1011,INE949P01018
GPPL,EQ,181.7,183.6,181.55,183.03,183.2,182.28,283938,51881728.11,01-Jan-2025,8278,INE517F01014
HMT,BZ,63,64.4,62.08,63.25,63.79,62.08,16050,1014753.09,01-Jan-2025,106,INE262A01018
BIRLACORPN,EQ,1241.9,1248,1227,1236.05,1230.9,1237.5,29282,36250142.60,01-Jan-2025,9277,INE340A01012
TANLA,EQ,673.95,772.65,672.15,750.25,753.1,672.15,26072951,19529479195.45,01-Jan-2025,511689,INE483C01032
AAVAS,EQ,1683,1688,1662.2,1677.85,1678.8,1679.55,52518,88006620.20,01-Jan-2025,4702,INE216P01012
AWHCL,EQ,619.8,627.45,617.05,619.65,624.35,616.25,67516,41908685.45,01-Jan-2025,3532,INE01BK01022
BRACEPORT,ST,102.5,102.95,102.5,102.9,102.95,99.25,6400,658000.00,01-Jan-2025,4,INE0R4Z01018
CONSOFINVT,EQ,212.9,214.98,209.02,210.16,210.56,210.41,5675,1201596.50,01-Jan-2025,367,INE025A01027
