SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6043.95,6142.25,6030.55,6111.3,6115.05,5996.35,1827,3135,19086464,
500003,"AEGIS LOGISTICS LTD.",A,STK,632,687.3,627.25,679.35,676.7,635.25,2428,97451,64980125,
500008,"Amara Raja Energy & Mobility L",A,STK,1030.6,1069.95,1020.05,1029.65,1029.65,1030.65,4244,75841,79152957,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,44.85,46.48,43.88,43.99,43.99,43.94,799,211753,9511394,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,64.02,67.9,64.02,66.58,66.58,64.84,539,69125,4515084,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,6.6,6.65,6.5,6.61,6.61,6.55,78,3750,24701,
500016,"ARUNA HOTELS LTD.",X,STK,11.03,11.39,10.52,10.94,10.94,11.03,39,6116,66341,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,150.1,156.85,150.1,154.95,154.95,150.4,1656,82933,12828976,
500023,"ASIAN HOTELS (NORTH) LIMITED",T,STK,336.85,336.9,334.95,336.9,336.9,320.9,37,2560,862056,
500027,"ATUL LTD.",A,STK,6228.85,6280.45,6190,6265.3,6265.3,6230.05,179,324,2024274,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.15,36.91,35.15,36.91,36.9,35.16,259,30531,1119939,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,665,684.45,665,678,684.4,662.75,144,1194,804529,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,26.5,28.05,26.5,27.26,27.26,26.41,3756,1084426,29651954,
500033,"FORCE MOTORS LTD.",A,STK,6484.3,6510,6380.1,6440.3,6440.3,6407.1,609,1807,11623765,
500034,"BAJAJ FINANCE LIMITED",A,STK,7673.85,7786.2,7570,7758.1,7758.1,7604.7,6374,31834,245767588,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,475,504.95,475,496.1,496.1,479.55,2575,63523,31376841,
500039,"BANCO PRODUCTS (INDIA) LTD.",B,STK,411.1,439.5,408.3,431.4,439.5,413.25,540,10307,4379049,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1965.95,1970,1888,1963.25,1968.8,1903.05,816,4526,8729165,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3415,3689,3415,3629,3629,3413.25,10,37,134084,
500042,"BASF INDIA LTD.",A,STK,4542.1,4775,4497.2,4755.25,4756.75,4520.3,356,819,3847907,
500043,"BATA INDIA LTD.",A,STK,1234.7,1277.2,1230.05,1263.1,1268.05,1234.7,1243,5917,7477592,
500048,"BEML LTD.",A,STK,3375.9,3512.9,3375.9,3495.5,3501.9,3354.15,1749,13203,45865388,
500049,"BHARAT ELECTRONICS LTD.",A,STK,258.65,268,258.65,267.2,267.2,258.2,4957,458689,121590287,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,105.6,127.35,105.6,121.8,121.8,107.9,2841,159318,18467108,
500058,"BIHAR SPONGE IRON LTD.",X,STK,14.08,14.65,14.01,14.62,14.65,14.08,89,8789,127917,
500059,"BINANI INDUSTRIES LTD.",B,STK,12.87,12.89,12.07,12.88,12.88,12.7,143,14094,173009,
500060,"Birla Cable Limited",B,STK,172,178.6,172,175.85,174.8,172.65,343,3952,692941,
500067,"BLUE STAR LTD.",A,STK,1760.25,1855,1760,1827.3,1850,1762.4,1006,10324,18812215,
500068,"DISA INDIA LTD.",B,STK,15650,16455,15000,15200.5,15200,15150,31,210,3261626,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,362.9,362.9,340,344.1,341.1,341.35,47,391,135102,
500074,"BPL LTD.",B,STK,94.7,95.55,92.3,94.15,94.5,92.8,546,18672,1757988,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,368,368,337.3,352.15,353.55,338,246,1575,554939,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,19.5,21.63,19.5,21.19,21.35,19.68,190,51229,1065325,
500084,"CESC LTD.",A,STK,132.25,139.15,132.25,138.6,139,132.4,1075,82450,11275839,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,468.3,493.2,466.65,490.5,490.5,467.6,2648,72526,35282176,
500086,"EXIDE INDUSTRIES LTD.",A,STK,345.2,361.6,338.7,353.1,353.1,343.4,11357,443680,157271186,
500087,"CIPLA LTD.",A,STK,1444.8,1454.2,1410.35,1423.95,1423.95,1419.55,4991,73476,104705174,
500089,"DIC INDIA LTD.",B,STK,709,709,709,709,709,611.3,5,7,4963,
500092,"CRISIL LTD.",A,STK,5018,5499.95,5018,5416.8,5361.15,5065.4,871,2458,13008126,
500093,"CG Power and Industrial Soluti",A,STK,575,629.95,575,625.5,625.5,574.85,10036,340627,208892302,
500096,"DABUR INDIA LTD.",A,STK,525,527,515.65,518.15,518.4,524.25,1442,27653,14340902,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,342.95,359,338.15,349.15,355.1,335.65,637,13222,4599787,
500101,"ARVIND LTD.",A,STK,336.3,345.1,324.2,337.6,337.9,327.45,3464,83542,28222276,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,185.25,200.45,185.2,199.9,199.9,187.6,11258,1391748,271932784,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,349.75,352.25,343.8,345.25,345.25,349.6,3711,138263,48105927,
500106,"IFCI LTD.",A,STK,52.47,54.55,52.46,54.16,54.16,52.04,4529,856660,46177217,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",A,STK,42.5,47.4,42.5,45.03,45.03,43.21,4270,625202,28231640,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,123.45,126.8,123.45,126.25,126.25,123.15,1526,121811,15304498,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,523.85,533,522.3,526.9,527.85,523.55,721,13838,7296872,
500112,"STATE BANK OF INDIA",A,STK,752.5,760.25,749.8,758.7,758.7,751.65,15164,379821,287566598,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,103.4,105.15,103,104.35,104.35,102.8,2755,490548,51035059,
500114,"TITAN COMPANY LIMITED",A,STK,3325.2,3374.5,3310.5,3368.5,3352.2,3324.9,1404,7114,23855255,
500116,"IDBI BANK LTD.",A,STK,77.55,79.9,77.5,77.8,77.8,77.64,972,136829,10726429,
500117,"DCW LTD.",B,STK,77.26,79.5,77.26,77.75,77.39,77.52,1006,56822,4443671,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,157.9,157.9,143,152.5,152.95,142.45,904,34196,5148308,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,452.15,470.15,452.15,458.55,458.55,453.4,68,2327,1071755,
500123,"ELANTAS BECK INDIA LTD.",B,STK,9978,10250,9755,9832.85,9832.85,9684.8,109,416,4120980,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1188.75,1189,1174,1181.85,1185.5,1179.85,2000,22642,26741507,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,788,827.95,787.15,819.45,821.9,790.8,547,6892,5626337,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5243.65,5288.85,5196.7,5253.25,5238,5248.15,60,133,697482,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,117.95,123.8,116.9,123.35,123.8,117.6,1417,84242,10280650,
500133,"ESAB INDIA LTD.",A,STK,4867.4,5420,4867.4,5195,5160,4838.8,289,636,3331713,
500135,"EPL LIMITED",A,STK,205.5,223.75,205.5,218.7,219.5,210.4,1252,39242,8602825,
500136,"ESTER INDUSTRIES LTD.",B,STK,137.5,145.9,137,144.6,144.85,138.25,230,6798,967020,
500142,"FGP LTD.",XT,STK,8.51,8.92,8.11,8.9,8.92,8.51,39,2038,17181,
500143,"PH CAPITAL LTD.",XT,STK,283.95,289,280,285,285,278.15,44,373,106329,
500144,"FINOLEX CABLES LTD.",A,STK,975.05,987.65,966.25,982.65,985.25,973.3,414,3610,3529191,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,3422.4,3744,3370.05,3700.9,3725,3422.4,444,3020,10836125,
500148,"UFLEX LTD.",B,STK,456.65,473.05,456.05,466.45,468.7,450.1,209,1822,848199,
500150,"FOSECO INDIA LTD.",B,STK,3750,3860.1,3735.5,3836.55,3841.35,3745,33,79,300113,
500151,"GOLDEN TOBACCO LTD.",Z,STK,37.91,37.91,35.1,35.28,35.28,36.11,25,6209,224673,
500153,"GANESH BENZOPLAST LTD.",B,STK,117.1,123.25,117.1,122.45,122.65,118.35,263,11682,1427985,
500159,"METROGLOBAL LIMITED",X,STK,148.25,152.9,146.05,150.85,150.85,140,71,5614,835172,
500160,"GTL LTD.",B,STK,10.71,11.1,10.71,10.99,11.04,10.64,235,38664,424771,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,4449.95,4516.15,4361.7,4498.55,4505,4364.4,469,1558,6957522,
500164,"GODREJ INDUSTRIES LTD.",A,STK,845.65,883.2,844.5,873.95,872.1,833,478,4302,3701382,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,239.75,241.15,232.75,237.95,237.05,231.35,425,8640,2058481,
500166,"GOODRICKE GROUP LTD.",X,STK,249.95,252.95,244.5,250,251.75,241.5,57,1986,494558,
500168,"GOODYEAR INDIA LTD.",B,STK,947.95,950,936,937.2,939,937.7,369,3642,3422356,
500170,"GTN INDUSTRIES LTD.",X,STK,33.3,34.19,30.01,33.12,33.98,32.69,56,2654,86751,
500171,"GHCL LTD.",A,STK,675,712.05,675,701.55,699.75,670.65,888,15496,10793989,
500173,"GFL LIMITED",B,STK,71.95,74.95,71.95,73.03,73,71.95,116,6108,451692,
500174,"GUJARAT LEASE FINANCING LTD.",T,STK,6.94,7.3,6.94,6.94,6.94,7.3,11,6473,44922,
500179,"HCL INFOSYSTEMS LTD.",B,STK,14.03,14.39,13.94,14.22,14.22,14.07,423,72696,1034942,
500180,"HDFC BANK LTD.",A,STK,1675,1681.3,1668.85,1677.1,1677.1,1670.55,7429,166662,279163010,
500182,"HERO MOTOCORP LTD.",A,STK,4036.9,4113.45,4034.45,4074.4,4079.95,4023.05,2681,7044,28794603,
500183,"HFCL LIMITED",A,STK,94.9,97.15,93.9,96.15,96.15,93.85,1957,405030,38828832,
500184,"Himadri Speciality Chemical Lt",A,STK,464.5,487.35,458.75,483.5,478.05,462.5,1768,59516,28493277,
500185,"HINDUSTAN CONSTRUCTION CO.LTD.",A,STK,29.51,31.8,29.51,31.66,31.66,29.47,5405,2165948,67237517,
500186,"HINDUSTAN OIL EXPLORATION CO.L",A,STK,188.85,198.75,186.65,197.55,197.3,188.45,857,31612,6169497,
500187,"AGI GREENPAC LIMITED",A,STK,940.75,1008.55,761.55,779.6,779.6,940.6,13136,255445,209218537,
500188,"HINDUSTAN ZINC LTD.",A,STK,438.45,445,430.1,438.15,438.15,433.4,4956,142449,62200547,
500189,"NDL Ventures Limited",B,STK,96.65,104.55,96.65,101,101,98.6,67,199,19842,
500191,"HMT LTD.",Z,STK,62.79,65,62,63.99,64,62.79,68,4487,286341,
500192,"PRAG BOSIMI SYNTHETICS LTD.",X,STK,2.56,2.78,2.56,2.74,2.78,2.66,40,5714,15407,
500193,"HLV LIMITED",B,STK,15.91,16.72,15.91,16.22,16.21,15.91,533,81226,1325723,
500199,"I G PETROCHEMICALS LTD.",B,STK,430,434.55,425.3,428.35,427.7,425.7,205,2432,1045371,
500201,"INDIA GLYCOLS LTD.",B,STK,1188.2,1245.65,1185.3,1236.45,1233.8,1187.2,526,5533,6778428,
500202,"INDIA LEASE DEVELOPMENT LTD.",X,STK,10,10.17,9.69,10.17,10.17,9.69,24,3055,30997,
500206,"MARGO FINANCE LIMITED",XT,STK,89.45,89.45,89.45,89.45,89.45,91.25,93,2444,218615,
500207,"INDO RAMA SYNTHETICS (INDIA) L",B,STK,39.79,41.03,39.6,40.54,40.85,39.55,87,1999,80560,
