SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6924.9,6935.25,6799.45,6890.55,6890.55,6929.05,2115,7016,48092708,
500003,"AEGIS LOGISTICS LTD.",A,STK,814,828,811.45,820.45,819.65,813.85,665,10218,8381559,
500008,"Amara Raja Energy & Mobility L",A,STK,1215,1219.3,1190.4,1200.05,1200.8,1210.2,1818,28587,34359038,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,56.03,59.99,55.84,57.48,57.48,56.13,1048,280103,16270815,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,77.25,77.25,74.51,75.84,75.84,76.52,546,53697,4082018,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,7.28,7.48,7,7.25,7.38,7.28,187,24805,181509,
500016,"ARUNA HOTELS LTD.",X,STK,11.7,11.89,11.35,11.69,11.5,11.61,58,30764,358030,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,196.5,198.25,193,195.9,195.3,195.6,1055,64152,12539923,
500023,"ASIAN HOTELS (NORTH) LIMITED",T,STK,351,351.05,334.35,342.15,342.15,334.35,70,2163,754721,
500027,"ATUL LTD.",A,STK,6899.25,6990,6830,6981.45,6980,6908.35,167,485,3348785,
500028,"ATV PROJECTS INDIA LTD.",X,STK,45,45,43.55,44.72,44.72,41.69,959,202202,9029155,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,760.35,788.45,760.35,782.2,778.55,765.65,328,2997,2316867,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,31.12,31.48,30.7,30.92,30.92,31.19,3373,805397,24925712,
500033,"FORCE MOTORS LTD.",A,STK,6750,7531.75,6635,7244.2,7208,6631.55,5878,24285,174401779,
500034,"BAJAJ FINANCE LIMITED",A,STK,6951.05,7428,6951.05,7387.7,7387.7,6936.65,22232,165047,1201728417,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,549.9,549.9,523.05,527,527,545.05,886,14575,7734867,
500039,"BANCO PRODUCTS (INDIA) LTD.",B,STK,516.95,516.95,487.3,494.6,494.6,513.25,2055,36749,18256727,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,2540.1,2550.9,2437.3,2454.15,2467,2529.4,850,8221,20317334,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3687.5,3687.5,3673.25,3673.25,3673.25,3648,2,2,7360,
500042,"BASF INDIA LTD.",A,STK,5590.05,5625,5481,5514.2,5492.55,5613,835,2786,15403675,
500043,"BATA INDIA LTD.",A,STK,1397.05,1429,1390.9,1420.9,1420.9,1398.25,1163,8857,12519908,
500048,"BEML LTD.",A,STK,4160.95,4249.6,4124.5,4188.95,4188.95,4120.95,1709,12028,50395918,
500049,"BHARAT ELECTRONICS LTD.",A,STK,294.1,297.75,291.3,296.65,296.65,293.9,12508,759554,223442057,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,137.6,138.75,135.85,137.7,138.5,137.35,938,40519,5561602,
500058,"BIHAR SPONGE IRON LTD.",X,STK,17.45,17.79,16.52,17.29,17.47,17.06,133,16728,287739,
500059,"BINANI INDUSTRIES LTD.",B,STK,14.88,15.28,14.88,15.09,15.09,14.79,42,1989,30072,
500060,"Birla Cable Limited",B,STK,217,217.45,212.95,213.8,214.05,214.3,231,5255,1129067,
500067,"BLUE STAR LTD.",A,STK,2274.9,2302,2200,2293.1,2291.65,2264.55,3769,41194,92564150,
500068,"DISA INDIA LTD.",B,STK,16899,17200,16225,17082,17082,16594.15,39,84,1418188,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,491.5,491.5,467.2,484.35,487,491.5,61,1300,617821,
500074,"BPL LTD.",B,STK,108,109.1,105.6,108.55,108.5,106.45,566,28922,3094599,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,409.9,419.25,407.3,417.5,419.25,409.75,156,2298,950578,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,25.49,25.49,24.17,24.27,24.24,24.44,195,16259,398127,
500084,"CESC LTD.",A,STK,186.5,190.4,185.8,189.1,189.65,186.1,1133,95780,18025261,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,509.85,509.85,499,506.3,506.05,503.5,1117,29661,14964151,
500086,"EXIDE INDUSTRIES LTD.",A,STK,423,430.25,418.5,429.1,429.1,421.45,7754,197568,83786248,
500087,"CIPLA LTD.",A,STK,1534,1543,1527.1,1537.55,1537.55,1530.85,3153,100112,153376312,
500089,"DIC INDIA LTD.",B,STK,664.95,668.2,655,661.7,661.7,660.45,45,377,249662,
500092,"CRISIL LTD.",A,STK,6374.05,6411.75,6118.8,6174.55,6174.55,6410.55,1657,6937,43282694,
500093,"CG Power and Industrial Soluti",A,STK,741.15,750.65,741.15,748.05,748,740.9,1789,40644,30388402,
500096,"DABUR INDIA LTD.",A,STK,514,515.15,507.8,513.3,513.95,511,2560,53495,27402130,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,384.9,384.9,367.45,373.2,371.8,372.45,459,4396,1636038,
500101,"ARVIND LTD.",A,STK,416.95,420,412.9,417,417.05,413.4,386,6272,2611915,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,234.65,234.65,227.6,232.7,232.7,233.2,3504,324262,74888788,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,413.45,415.7,404.4,412.45,412.45,412.6,3089,108161,44495370,
500106,"IFCI LTD.",A,STK,62.1,62.87,61.65,62,62,62.04,4754,658167,40915575,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",A,STK,51.43,51.44,50.57,51.02,51.02,51.39,2148,361212,18400850,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,149,150.9,147.65,149.6,149.6,149.4,1569,89369,13331440,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,627.05,638.5,626.65,634.15,634.15,632.1,2274,62414,39476058,
500112,"STATE BANK OF INDIA",A,STK,795,802.4,786.3,801.05,801.05,793.35,19910,711599,563699953,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,113.05,114.35,112.05,114.05,114.05,113,5700,596075,67666637,
500114,"TITAN COMPANY LIMITED",A,STK,3255.05,3400,3250.55,3391.4,3391.4,3254.05,6679,47287,157910404,
500116,"IDBI BANK LTD.",A,STK,76.94,77.29,75.4,76.63,76.63,76.84,3605,515945,39338021,
500117,"DCW LTD.",A,STK,90.49,92.47,89.43,91.47,91.47,90,1203,119421,10794391,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,166.5,167.5,163,163.85,163.45,166.5,614,24363,4005743,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,497.05,504,493.9,498.25,504,499.45,108,1382,689104,
500123,"ELANTAS BECK INDIA LTD.",B,STK,12874.95,13005,12501,12644.85,12644.85,12754.35,169,775,9938247,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1370.05,1386.85,1369.85,1373.7,1373.7,1369.5,3614,45458,62556463,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,919.4,929,902.05,919.3,914.9,918.75,614,8508,7789716,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5228.75,5271.55,5202.75,5254.15,5270.25,5208.3,25,31,162382,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,142.05,148.3,141.45,145.65,145.5,143.2,1001,73082,10575611,
500133,"ESAB INDIA LTD.",A,STK,5923.1,5941.9,5853.3,5901.5,5883.8,5909.45,73,165,972764,
500135,"EPL LIMITED",A,STK,263.95,265.4,260.5,262.25,263.5,262.9,671,23358,6139528,
500136,"ESTER INDUSTRIES LTD.",B,STK,155.9,158.9,155.25,156.45,156.45,155.1,363,16023,2515270,
500142,"FGP LTD.",XT,STK,9.92,9.92,9.92,9.92,9.92,9.88,24,3459,34313,
500143,"PH CAPITAL LTD.",XT,STK,342.3,342.3,342.3,342.3,342.3,326,29,712,243717,
500144,"FINOLEX CABLES LTD.",A,STK,1169,1190,1169,1176.9,1173,1168.95,921,11109,13075275,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,4160,4310,4160,4238.05,4250,4192.1,251,2284,9728325,
