SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1075UCL25,N9,1075,1075,1055.1,1055.1,1055.1,1090,10,10710.20,30-Jan-2025,7,INE583D07430
20MICRONS,EQ,196.6,201.5,191.05,193.31,192.53,193.69,327831,64436098.86,30-Jan-2025,6125,INE144J01027
364D261225,TB,94.31,94.31,94.31,94.31,94.31,94,100,9431.00,30-Jan-2025,1,IN002024Z370
667GS2050,GS,99,99,96.01,96.48,96.02,96.3,2614,252221.22,30-Jan-2025,5,IN0020200252
699GS2026,GS,101.91,101.96,101.91,101.95,101.95,101.95,5600,570901.00,30-Jan-2025,3,IN0020230028
702GS2027,GS,101.35,102.15,101.35,101.35,102.15,102,7001,709552.15,30-Jan-2025,2,IN0020240043
716GS2050,GS,102.57,102.57,102.51,102.54,102.51,105.5,108,11074.32,30-Jan-2025,2,IN0020200054
754GS2036,GS,107,107.05,106.66,106.84,107.05,106.78,485212,51835774.68,30-Jan-2025,85,IN0020220029
873NTPC28,N5,1100,1105,1100,1105,1105,1103,190,209550.00,30-Jan-2025,3,INE733E07JI1
875SFL27,ZF,1008.69,1010,1008.4,1010,1010,1007.5,401,404464.80,30-Jan-2025,12,INE721A07PK7
888IRFC29,NE,1176,1177.05,1176,1177.05,1177.05,1180.24,186,218739.15,30-Jan-2025,3,INE053F07744
891IIFCL34,N4,1232,1232,1232,1232,1232,1232,5,6160.00,30-Jan-2025,1,INE787H07370
910TCAP28,NA,1060,1065,1060,1065,1065,1065.2,2266,2410975.00,30-Jan-2025,18,INE306N08292
91SFL27,ZI,1025,1025,1025,1025,1025,1010,400,410000.00,30-Jan-2025,1,INE721A07PN1
957ISFL26,N2,969,969,969,969,969,955.2,100,96900.00,30-Jan-2025,1,INE413U07236
AADHARHFC,EQ,392,398.2,385.85,387.4,388.8,397.45,192714,75452204.45,30-Jan-2025,9584,INE883F01010
ABAN,EQ,42.97,43.62,41.75,43.61,43.62,41.55,234088,10146797.74,30-Jan-2025,1809,INE421A01028
ABCAPITAL,EQ,176.54,177.68,175.25,177.18,177.06,176.54,2557549,451674121.31,30-Jan-2025,31385,INE674K01013
ADANIENSOL,EQ,751.95,760.3,728.3,740.25,740.6,744.7,1380777,1029756017.65,30-Jan-2025,62459,INE931S01010
ADFFOODS,EQ,261,286.45,260.2,264.95,267.1,265.25,365220,98424727.50,30-Jan-2025,8606,INE982B01027
ADORWELD,EQ,1005,1005,973.85,977.45,979,997.4,14714,14535985.60,30-Jan-2025,1523,INE045A01017
AEL120924A,N5,866,866,866,866,866,1012.75,74,64084.00,30-Jan-2025,1,INE423A07377
AFFORDABLE,EQ,524.9,530,502.05,518.1,508.1,524.9,9616,4974635.15,30-Jan-2025,828,INE692Z01013
AGNI,SM,32.9,33.75,32.5,33.7,33.7,33.2,15000,498625.00,30-Jan-2025,6,INE0LF301013
AHIMSA,ST,51.3,51.3,51.3,51.3,51.3,52.35,3000,153900.00,30-Jan-2025,1,INE136T01014
ALLCARGO,EQ,41.5,42.05,41.42,41.74,41.78,41.74,1059513,44322700.34,30-Jan-2025,9632,INE418H01029
AMRUTANJAN,EQ,677.3,680,664,666,667.25,673.95,7656,5122719.00,30-Jan-2025,1152,INE098F01031
ANLON,SM,360.1,368.6,342,342,342,360,25200,8683580.00,30-Jan-2025,35,INE0LR101013
APOLLO,EQ,127.95,137.7,127.4,130.59,131.5,124.53,14610727,1934562354.28,30-Jan-2025,59898,INE713T01028
ARTEMISMED,EQ,306.7,309.8,302.95,306,306.85,308.35,66266,20251743.20,30-Jan-2025,3010,INE025R01021
ASIANTILES,EQ,60.49,61.2,57.6,59.12,58.4,60.35,971054,57977125.39,30-Jan-2025,2777,INE022I01019
ASTRON,EQ,17.59,18.4,17.29,18.03,18.05,17.59,35128,629691.16,30-Jan-2025,746,INE646X01014
ATALREAL,BE,13.5,13.7,13.42,13.7,13.7,13.7,742595,10164577.78,30-Jan-2025,80,INE0ALR01029
ATL,EQ,32.1,32.5,31.79,32.07,32.4,31.94,260230,8346709.55,30-Jan-2025,1759,INE0NN701020
ATMASTCO,ST,277,278.45,273,273,273,273,16800,4633500.00,30-Jan-2025,35,INE05DH01017
AUTOAXLES,EQ,1701,1725.85,1701,1716.05,1719.05,1717,3760,6443442.90,30-Jan-2025,637,INE449A01011
AXISGOLD,EQ,69.49,69.49,67.8,68.63,68.79,68.49,143623,9840432.45,30-Jan-2025,1219,INF846K01W80
BANKBEES,EQ,505.79,507.3,503.13,506.44,506.54,504.11,702819,355360000.34,30-Jan-2025,7542,INF204KB15I9
BBTCL,EQ,197.8,197.8,189.03,195.27,196.95,192.37,3520,682386.65,30-Jan-2025,251,INE01EE01011
BECTORFOOD,EQ,1508.95,1508.95,1455.85,1461.55,1463,1494.05,32972,48688984.30,30-Jan-2025,7315,INE495P01012
BEPL,EQ,119.05,122.12,117.07,118.13,118.01,121.42,584956,69765400.62,30-Jan-2025,13015,INE922A01025
BSOFT,EQ,535.45,537.75,521.25,530.15,532,531.85,1030649,546274776.10,30-Jan-2025,35893,INE836A01035
CANARYS,SM,33.95,34,33,33.3,33.6,32.65,40000,1342000.00,30-Jan-2025,10,INE0QG301017
CGCL,EQ,180,182.95,175.37,176.59,178,180.13,375440,67127050.12,30-Jan-2025,12517,INE180C01042
CPSEETF,EQ,84.65,84.65,82.2,83.88,83.95,82.19,3241108,271202747.76,30-Jan-2025,9082,INF457M01133
CSLFINANCE,EQ,257,274.35,257,265.2,267,258.25,16934,4504519.90,30-Jan-2025,915,INE718F01018
DCM,EQ,103.9,103.9,99.8,100.11,100.52,101.96,14775,1501859.86,30-Jan-2025,494,INE498A01018
DCMSHRIRAM,EQ,1145.2,1165.7,1130,1134.05,1134.8,1155.55,29657,34039093.65,30-Jan-2025,5340,INE499A01024
DEEPAKFERT,EQ,1285,1285,1110.55,1120.9,1124.25,1296.55,6284521,7272608513.55,30-Jan-2025,205273,INE501A01019
DMCC,BE,318.4,321.7,299,302.75,308,310.7,23312,7171701.35,30-Jan-2025,271,INE505A01010
DRL,SM,20.55,20.55,20.55,20.55,20.55,19.6,6000,123300.00,30-Jan-2025,1,INE704V01015
DUCOL,SM,119,119,116.1,119,119,117.65,4000,473640.00,30-Jan-2025,5,INE0LZO01015
EIFFL,EQ,192.01,194.79,183,190.32,191,190.94,13743,2643146.81,30-Jan-2025,421,INE546V01010
ENGINERSIN,EQ,163.73,170,163.51,166.85,168.5,163.08,2189369,363663655.62,30-Jan-2025,30244,INE510A01028
ENVIRO,SM,117,117,112.15,112.15,112.15,114,24000,2735800.00,30-Jan-2025,11,INE0SUH01015
EPL,EQ,221,224.1,215.1,216.05,217.5,218.55,360580,78742511.75,30-Jan-2025,14409,INE255A01020
FIBERWEB,EQ,47,47.18,44.52,45.83,46.5,46.2,45503,2107017.90,30-Jan-2025,840,INE296C01020
FORCAS,ST,105.75,105.75,105.75,105.75,105.75,103.7,17600,1861200.00,30-Jan-2025,7,INE0U2501017
GALAXYSURF,EQ,2351.9,2391.4,2350,2380.65,2381,2351.9,3269,7774923.35,30-Jan-2025,1150,INE600K01018
GANECOS,EQ,1650,1712,1605.3,1636.05,1626.25,1671.95,71942,119545479.00,30-Jan-2025,19994,INE845D01014
GANESHIN,SM,142,146.35,141.15,142.25,142,141.15,83200,11935200.00,30-Jan-2025,46,INE0TVT01024
GEEKAYWIRE,EQ,88.94,88.94,84.2,85.88,85,85.32,54770,4759730.75,30-Jan-2025,1738,INE669X01024
GENUSPOWER,EQ,323,333,314,316.3,315.85,322.65,505135,162743046.05,30-Jan-2025,13886,INE955D01029
GILLETTE,EQ,8698.2,8899,8611,8686.2,8653,8698.2,12304,107406137.00,30-Jan-2025,6049,INE322A01010
