SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
888REC29,NF,1127,1127,1127,1127,1127,1126.33,200,225400.00,21-Jan-2025,1,INE020B07IG5
CIEINDIA,EQ,473,475.1,461,464.5,463.1,471.4,77879,36305932.00,21-Jan-2025,8904,INE536H01010
ESABINDIA,EQ,5250,5277.95,5151,5172.15,5190,5214.15,1288,6703325.20,21-Jan-2025,478,INE284A01012
GALAPREC,EQ,1169,1173.75,1100,1109.1,1112,1158.5,57753,65035142.45,21-Jan-2025,5399,INE0RE001014
GVPTECH,EQ,10.86,11.24,10.82,11.02,11.05,11.05,49051,538500.69,21-Jan-2025,318,INE382T01030
HDFCNIFTY,EQ,256.56,260,254.37,255.13,255.69,258.34,111911,28696113.22,21-Jan-2025,1310,INF179KC1965
HOLMARC,ST,196.85,196.85,195,196.85,196.85,187.5,42000,8263575.00,21-Jan-2025,26,INE0LXA01019
LUMAXIND,EQ,2351.8,2390.45,2280,2293.75,2297.9,2339.5,2836,6584111.10,21-Jan-2025,893,INE162B01018
NESCO,EQ,1010,1014.15,997,1001.85,1002.95,1006.65,26860,26867270.75,21-Jan-2025,2776,INE317F01035
SAHYADRI,EQ,319.6,321.95,305,308.3,308,317.9,4931,1542255.70,21-Jan-2025,406,INE280H01015
916SCL25,ZW,480,480,479,479,479,509,5,2396.00,21-Jan-2025,5,INE148I07NM7
SIGNATURE,EQ,1115,1116.65,1086.8,1100.8,1102,1110.55,619119,682090699.90,21-Jan-2025,23284,INE903U01023
SILVERETF,EQ,89.88,89.88,88.83,89.03,89,88.87,43802,3907234.54,21-Jan-2025,505,INF789F1AYK6
GAIL,EQ,181.81,183.6,179.3,179.91,180.35,182.06,6654450,1204153442.50,21-Jan-2025,65771,INE129A01019
GSEC5IETF,EQ,59,59.56,58.75,58.75,58.75,59.15,40130,2374268.84,21-Jan-2025,22,INF109KC14A8
JSFB,EQ,389,391.45,363.8,365.6,364.5,387.25,349796,130781422.05,21-Jan-2025,9414,INE953L01027
JMFINANCIL,EQ,120.35,121.48,115.22,115.99,116.15,120.35,1987899,234373519.56,21-Jan-2025,20719,INE780C01023
KABRAEXTRU,EQ,466,469.45,446,461.9,462.55,463.05,94825,43383253.65,21-Jan-2025,4142,INE900B01029
KOKUYOCMLN,EQ,126.1,127.51,123,123.49,123.9,125.79,63907,7937922.94,21-Jan-2025,840,INE760A01029
PRECISION,ST,38.5,39.6,38.5,39.6,39.6,39.6,6000,234200.00,21-Jan-2025,3,INE0HKW01018
PRINCEPIPE,EQ,398.7,405.6,392,393.5,394.45,397.6,156935,62345327.90,21-Jan-2025,15578,INE689W01016
SDREAMS,SM,164.7,168.5,155,156,156,159.05,21000,3359650.00,21-Jan-2025,18,INE0X6F01017
SDBL,EQ,111.66,115.5,108.2,109.55,109.4,112.02,1301828,146087317.64,21-Jan-2025,16660,INE480C01038
TIPSMUSIC,EQ,699,699,680.3,684.5,682,696.65,166290,114212231.25,21-Jan-2025,18102,INE716B01029
AAVAS,EQ,1685.8,1711.95,1675.2,1700.7,1700,1666.1,600256,1019767281.65,21-Jan-2025,34383,INE216P01012
AWHCL,EQ,612,619.5,597.5,601,603,612,69055,41755189.55,21-Jan-2025,3980,INE01BK01022
BRACEPORT,ST,100.8,100.8,100.2,100.2,100.2,96,3200,321600.00,21-Jan-2025,2,INE0R4Z01018
CONSOFINVT,EQ,204,205.98,195.37,197.21,197.99,202.15,4001,801345.13,21-Jan-2025,342,INE025A01027
SGBSEP31II,GB,8277,8320,8262,8280.8,8280,8271.93,741,6141283.92,21-Jan-2025,119,IN0020230093
BASF,EQ,4916,4965,4771,4865.7,4832.8,4925.9,35645,173709124.40,21-Jan-2025,10342,INE373A01013
EXICOM,EQ,249.8,255.19,243.47,244.68,244,248.39,243554,60544050.59,21-Jan-2025,6527,INE777F01014
GEOJITFSL,EQ,105,105,99.89,100.16,100,104.39,313848,31768984.55,21-Jan-2025,5205,INE007B01023
HINDCOMPOS,EQ,505.25,514.45,485,499.35,504.1,506.15,6008,2988192.65,21-Jan-2025,1038,INE310C01029
HYUNDAI,EQ,1784.6,1801.15,1738.1,1745.55,1740,1782.45,1036378,1825153272.80,21-Jan-2025,121267,INE0V6F01027
KREBSBIO,BE,103,103.9,99.1,103.85,103.9,98.96,29777,3088433.46,21-Jan-2025,217,INE268B01013
PPLPHARMA,EQ,242.05,247.1,238,240.9,239.95,242.05,3425953,831268621.40,21-Jan-2025,64192,INE0DK501011
REFRACTORY,ST,76.95,76.95,75.35,76,76,79.3,8000,605300.00,21-Jan-2025,8,INE0TNX01015
VPRPL,EQ,269.45,269.45,254.95,256,257.05,267.9,552520,144127092.70,21-Jan-2025,18167,INE0AE001013
AKUMS,EQ,621.35,635.45,616.05,625.65,626,626.5,144609,90191416.20,21-Jan-2025,7703,INE09XN01023
DRONE,ST,179,179,176.55,179,179,179.25,20000,3562550.00,21-Jan-2025,31,INE0P7201019
IKS,EQ,1926.65,1934.95,1869,1884.95,1878.7,1925.65,277868,523658855.65,21-Jan-2025,14056,INE115Q01022
RUSTOMJEE,EQ,618.7,639.95,617.25,632.1,632.05,618.7,22923,14369804.05,21-Jan-2025,4868,INE263M01029
MON100,EQ,217.5,217.5,205.52,206.46,207.8,211.66,1009312,212191706.42,21-Jan-2025,17931,INF247L01AP3
NAHARPOLY,EQ,250.9,251,235.65,238,241.9,247,9512,2293182.20,21-Jan-2025,663,INE308A01027
NETWORK18,EQ,57.2,57.43,55.04,55.29,55.39,57.15,3899520,218186438.35,21-Jan-2025,27633,INE870H01013
PPSL,SM,40.5,40.5,38,39.2,39.2,40.35,75000,2937000.00,21-Jan-2025,24,INE0YAL01017
SAHAJSOLAR,SM,504.5,509.9,495,499.85,502,509.35,14800,7422640.00,21-Jan-2025,68,INE0P4701011
1050ISFL28,N5,940.61,975,940.61,975,975,955.81,8,7765.61,21-Jan-2025,3,INE413U07251
SUBEXLTD,EQ,21.05,21.31,20.24,20.35,20.33,21.03,3635715,75065041.19,21-Jan-2025,7389,INE754A01055
SUNDRMFAST,EQ,1072.45,1081.9,1054.65,1067.75,1065.75,1072.1,49771,53081535.70,21-Jan-2025,5325,INE387A01021
VISHNUINFR,SM,277,288,243.55,243.55,243.55,270.6,231000,57364650.00,21-Jan-2025,308,INE0PQ001012
CEREBRAINT,BZ,9.89,9.89,9.1,9.1,9.1,9.49,25998,242192.45,21-Jan-2025,123,INE345B01019
DATAPATTNS,EQ,2359.25,2389.45,2279,2296.05,2289.5,2359.6,103497,240561392.85,21-Jan-2025,23069,INE0IX101010
