SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SUBEXLTD,EQ,23.58,23.6,21.66,21.78,21.97,23.45,3515785,78878271.31,06-Jan-2025,11061,INE754A01055
SUNDRMFAST,EQ,1072.3,1077.5,1038.05,1047.7,1048.15,1071.55,56583,59694592.10,06-Jan-2025,11143,INE387A01021
VISHNUINFR,ST,255.05,260,249,251.1,255,255,20500,5181000.00,06-Jan-2025,35,INE0PQ001012
NAHARPOLY,EQ,271.65,271.65,250.5,252.95,253.35,271.65,23340,6056641.80,06-Jan-2025,1345,INE308A01027
NETWORK18,EQ,73,73.03,68.61,68.95,69.09,72.8,3705754,260652974.56,06-Jan-2025,27556,INE870H01013
PPSL,SM,35.2,36.2,33.25,33.6,33.6,36.2,120000,4152000.00,06-Jan-2025,36,INE0YAL01017
SAHAJSOLAR,ST,554.9,575,535.05,551.2,550,548.6,85200,47562800.00,06-Jan-2025,336,INE0P4701011
1050ISFL28,N5,940.05,955,932,954.7,954.7,958.08,1235,1157617.30,06-Jan-2025,29,INE413U07251
AKUMS,EQ,631.05,635,602,607.6,610.95,633.85,325113,199589496.40,06-Jan-2025,11893,INE09XN01023
DRONE,ST,206.8,206.8,206.8,206.8,206.8,211,6000,1240800.00,06-Jan-2025,10,INE0P7201019
IKS,EQ,1948,1948,1860,1867.35,1865,1939.1,408946,776091814.30,06-Jan-2025,20714,INE115Q01022
RUSTOMJEE,EQ,675.9,675.9,640.5,645.6,648,672.4,31258,20486185.85,06-Jan-2025,2636,INE263M01029
MON100,EQ,210.7,210.74,203.2,205.02,203.5,210.92,736815,153528235.83,06-Jan-2025,17984,INF247L01AP3
TPLPLASTEH,EQ,107,108.44,97.5,98.65,98.9,105.9,208083,21034416.51,06-Jan-2025,3450,INE413G01022
USASEEDS,SM,220.05,224,214.5,221.5,221.5,234,2100,462015.00,06-Jan-2025,7,INE0CBM01019
ARENTERP,BE,55.07,58,55.07,55.22,56,57.97,2074,114500.76,06-Jan-2025,44,INE610C01014
ACCURACY,EQ,11.1,11.32,10.3,10.38,10.5,11.18,580379,6173529.54,06-Jan-2025,2100,INE648Z01023
ALKYLAMINE,EQ,1790,1790,1716.55,1732.6,1730.25,1790,50401,87903779.80,06-Jan-2025,11815,INE150B01039
BIKAJI,EQ,752.9,758.6,721.15,728.1,729,748.35,350365,255865368.90,06-Jan-2025,30813,INE00E101023
GARUDA,EQ,134.48,139.32,125.65,127.21,126.99,133.77,4151301,552926193.63,06-Jan-2025,28621,INE0JVO01026
GOKEX,EQ,1139.95,1141.6,1085.9,1092.7,1088,1139.95,66962,74111374.00,06-Jan-2025,10222,INE887G01027
GULPOLY,EQ,180.9,186,172.11,174.16,173.4,179.92,259879,46817799.16,06-Jan-2025,4311,INE255D01024
HITECHCORP,EQ,292,292,235,239.35,241.6,243.9,203908,53990353.11,06-Jan-2025,5592,INE120D01012
LPDC,BE,10.15,10.18,9.75,9.9,10,10.15,60706,604268.05,06-Jan-2025,301,INE197J01017
